num_registrazione;denominazione_prodotto;ragione_sociale;indirizzo_sede_legale;cap_sede_legale;comune_sede_legale;provincia_sede_legale;indirizzo_sede_amministrativa;cap_sede_amministrativa;comune_sede_amministrativa;provincia_sede_amministrativa;data_registrazione;data_scadenza_autorizzazione;indicazioni_di_pericolo;attivita;codice_formulazione;descrizione_formulazione;sostanze_attive;contenuto_per_100g_di_prodotto;importazione_parallela;PFnPO;PFnPE;stato_amministrativo;motivo_della revoca;data_decreto_revoca;data_decorrenza_revoca
012383;RIDOMIL GOLD MZ PEPITE;SYNGENTA ITALIA S.P.A.;VIA FULVIO TESTI, 280/6;20126;MILANO;MILANO;VIA GALLARATE, 139;20151;MILANO;MILANO;28/09/2004;31/05/2036;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;FUNGICIDA;WG;GRANULARE IDRODISPERSIBILE;MANCOZEB|METALAXYL-M;64.0 g|3.1 g;NO;NO;NO;Revocato;-;-;01/02/2021
012384;GLORY TURF;CORTEVA AGRISCIENCE ITALIA S.R.L.;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;VIA DEI COMIZI AGRARI, 10;26100;CREMONA;CREMONA;28/09/2004;30/06/2032;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;DISERBANTE;EC;CONCENTRATO EMULSIONABILE;CYHALOFOP-BUTYL;20.9 g;NO;NO;NO;Revocato;-;-;16/10/2017
012385;ARMETIL COBRE SC;IQV INDUSTRIAS QUIMICAS DEL VALLES S.A.;AVENIDA RAFAEL CASANOVA, 81 MOLLET DEL VALLES;08100;BARCELLONA;-;AVENIDA RAFAEL CASANOVA, 81 MOLLET DEL VALLES;08100;BARCELLONA;-;15/07/2009;30/06/2029;(N) PERICOLOSO PER L'AMBIENTE|(XN) NOCIVO;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;COPPER HYDROXIDE|METALAXYL;18.5 g|3.5 g;NO;NO;NO;Ri-registrato;-;-;-
012386;OUTFLY;EURO TSA S.R.L.;S.S. CREMASCA 591, N. 10;24040;FORNOVO SAN GIOVANNI;BERGAMO;S.S. CREMASCA 591, N. 10;24040;FORNOVO SAN GIOVANNI;BERGAMO;24/12/2004;31/12/2010;(N) PERICOLOSO PER L'AMBIENTE;INSETTICIDA;EC;CONCENTRATO EMULSIONABILE;PIPERONYL BUTOXIDE|PYRETHRINS;8.0 g|2.0 g;NO;NO;NO;Revocato;-;-;01/09/2009
012387;MICE-STOP;EURO TSA S.R.L.;S.S. CREMASCA 591, N. 10;24040;FORNOVO SAN GIOVANNI;BERGAMO;S.S. CREMASCA 591, N. 10;24040;FORNOVO SAN GIOVANNI;BERGAMO;24/12/2004;31/12/2008;(XN) NOCIVO;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;THIOPHANATE-METHYL;38.3 g;NO;NO;NO;Revocato;-;-;01/03/2006
012389;SCIRON FL;SIAPA S.R.L.;CENTRO UFFICI SAN SIRO FAB. D ALA 1 VIA CALDERA 21;20153;MILANO;MILANO;CENTRO UFFICI SAN SIRO FAB. D ALA 1 VIA CALDERA 21;20153;MILANO;MILANO;12/02/2007;12/02/2012;(N) PERICOLOSO PER L'AMBIENTE;DISERBANTE;SC;SOSPENSIONE CONCENTRATA;OXADIAZON;34.0 g;NO;NO;NO;Revocato;-;-;01/01/2009
012391;FUEGO;ARYSTA LIFESCIENCE BENELUX SPRL;RUE DE RENORY, 26/1;B-4102;OUGREE, SERAING;-;RUE DE RENORY, 26/1;B-4102;OUGREE, SERAING;-;21/02/2005;31/05/2027;-;DISERBANTE;EC;CONCENTRATO EMULSIONABILE;OXYFLUORFEN;40.7 g;NO;NO;NO;Ri-registrato;-;-;-
012392;BENTORAM;DAL CIN GILDO S.P.A.;P.LE PRINCIPESSA CLOTILDE, 8;20121;MILANO;MILANO;V.LE CASIRAGHI, 422;20099;SESTO SAN GIOVANNI;MILANO;04/05/2007;30/11/2016;(N) PERICOLOSO PER L'AMBIENTE|(XI) IRRITANTE;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;COPPER HYDROXIDE;10.0 g;NO;NO;NO;Revocato;-;-;01/06/2012
012393;COPPERCIM WG;UPL HOLDINGS COÃPERATIEF U.A.;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;Claudius Prinsenlaan 144 A, Blok A;NL-4818CP;BREDA;-;27/09/2005;30/06/2029;(N) PERICOLOSO PER L'AMBIENTE|(XI) IRRITANTE;FUNGICIDA;WG;GRANULARE IDRODISPERSIBILE;CYMOXANIL|BORDEAUX MIXTURE (POLTIGLIA BORDOLESE - COPPER);4.0 g|20.0 g;NO;NO;NO;Ri-registrato;-;-;-
012394;AGRO METAZACHLOR;GLOBACHEM NV;LICHTENBERGLAAN, 2019;B-3803;SINT-TRUIDEN;-;LICHTENBERGLAAN, 2019;B-3803;SINT-TRUIDEN;-;31/07/2007;31/10/2026;(XN) NOCIVO;DISERBANTE;SC;SOSPENSIONE CONCENTRATA;METAZACHLOR;43.1 g;NO;NO;NO;Autorizzato;-;-;-
012395;CUTRIL TOP;GOWAN ITALIA S.R.L.;via della Costituzione, 8;48018;FAENZA;RAVENNA;via della Costituzione, 8;48018;FAENZA;RAVENNA;12/11/2007;30/06/2029;(N) PERICOLOSO PER L'AMBIENTE;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;TRIBASIC COPPER SULFATE;15.2 g;NO;NO;NO;Ri-registrato;-;-;-
