Prodotti fitosanitari venduti nell'anno 2017 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
RO;12138;R6 ERRESEI TREVI;113
RO;12149;GERBA 4 LG;12
RO;12172;KOL FERRAMOL 1 KG ESCA LUMACHICIDA;5
RO;12174;V.I.P. FLOW;433
RO;12177;;1,6
RO;12177;VITTORIA 24 SC;24,8
RO;12180;;88
RO;12199;SILBOT MZ 60;18
RO;12200;SILBOT R x 1 kg;71
RO;12200;SILBOT R x 10 kg;2.950,00
RO;12202;ZEMIX R x 1 kg;8
RO;12202;ZEMIX R x 10 kg;30
RO;12203;TOOLER;0,84
RO;12212;PENTHIUM EC;232
RO;12212;PENTHIUM EC x 1 lt;2
RO;12215;VEBIPHOS 7,5;19
RO;12215;VEBIPHOS 7.5;7
RO;12225;TEPPEKI;143,76
RO;12225;TEPPEKI x 0,5 kg;13
RO;12225;TEPPEKI x 100 gr;2
RO;12243;MANTIR DG;5.007,00
RO;12250;PENCOR COMBI;45
RO;12263;VONDOZEB DG;1.500,00
RO;12263;VONDOZEB DG x 20 kg;40
RO;12285;FORUM GOLD;193
RO;12296;GAIO SX;1,12
RO;12318;VIVER;10
RO;12319;KRONOS;28
RO;12323;VEBIZOLFO WG;43
RO;12325;MESUROL M PLUS;284,3
RO;12330;DEDALUS SE;3,8
RO;12344;VEBITHRIN 5 EC;6,5
RO;12361;ALGEDI;110,4
RO;12361;ALGEDI (PER 4 HA);1
RO;12361;ALGEDI x 200 gr;82,2
RO;12365;;1
RO;12368;CARPOSTOP;784
RO;12375;SUGAR 500 SC;5.113,00
RO;12375;SUGAR 500 SC LT 1;4
RO;12375;SUGAR 500 SC LT 5;10
RO;12375;SUGAR 500 SC x 5 lt;400
RO;12376;FITAGIL;65
RO;12378;TRIANUM-G;20
RO;12381;NU FILM P x 1 lt;2
RO;12381;NU FILM P x 4 lt;20
RO;12381;NU-FILM-P;300
RO;12383;FLARE GOLD MZ PEPITE x 5 kg;20
RO;12383;RIDOMIL GOLD MZ PEPITE;141
RO;12383;RIDOMIL GOLD MZ PEPITE x 1 kg;7
RO;12385;ARMETIL COBRE SC;6
RO;12395;CUTRIL TOP;1.306,00
RO;12399;GANZO x 1 lt;8
RO;12437;DELAN 70 WG;5.712,00
RO;12437;DELAN 70 WG x 1 kg;151
RO;12452;;600
RO;12452;EQUIP;3.949,00
RO;12452;EQUIP LT. 1;42
RO;12452;EQUIP LT. 5;30
RO;12452;EQUIP x 1 lt;25
RO;12452;EQUIP x 5 lt;140
RO;12453;;120
RO;12459;VOLCAN SC;50
RO;12461;FINALSAN ERBICIDA PROFESSIONAL;2
RO;12461;KOL FINALSAN ERBICIDA PROF. 1 LT.;5
RO;12482;;925
RO;12482;LUMAX;25.250,00
RO;12482;LUMAX x 20 lt;540
RO;12482;LUMAX x 5 lt;260
RO;12489;DIFCOR 250;1
RO;12491;;55
RO;12491;CIPERTHRIN PLUS;970
RO;12504;FLOWBRIX;364
RO;12505;FLOWBRIX BLU;69
RO;12514;VIPER;294
RO;12514;VIPER x 5 lt;330
RO;12519;CORSARIO;12
RO;12522;METRO;113,5
RO;12526;ALIETTE ORTO E GIARDINO;12,75
RO;12528;CABRIO TOP;49
RO;12528;CABRIO TOP x 5 lt;750
RO;12534;FOXTAIL;102,9
RO;12534;FOXTAIL  x  lt 1;13
RO;12534;FOXTAIL ML.250;4,5
RO;12538;MYSTIC 25 WG;1,5
RO;12538;MYSTIC 25 WG x 1 kg;6
RO;12540;REGRAN EXTRA;10
RO;12540;REGRAN SL;73
RO;12566;PYGANIC 1.4;20
RO;12566;PYGANIC 50 ML;0,55
RO;12568;SPRINTEX NEW L;7,25
RO;12573;EKO OIL SPRAY;341
RO;12573;EKO OIL SPRAY LT. 5;5
RO;12573;EKO OIL SPRAY x 1 lt;124
RO;12573;EKO OIL SPRAY x 5 lt;60
RO;12590;DIASTAR MAXI;6.540,00
RO;12590;DIASTAR MAXI x 10 kg;7.930,00
RO;12598;GRANSTAR POWER SX;1.353,51
RO;12598;GRANSTAR POWER SX x 1090 gr;66,49
RO;12598;GRANSTAR ULTRA SX;2
RO;12622;QUANTUM;299,5
RO;12625;EFUZIN 355 SC;5
RO;12625;EFUZIN 355 SC x 1 lt;63
RO;12625;EFUZIN 355 SC x 5 lt;120
RO;12627;DANADIM 400 ST;2.512,00
RO;12628;SERENADE MAX;819
RO;12636;QUASAR 6-24 R;108
RO;12642;TRATON SX;8,12
RO;12644;ALTIX;146
RO;12647;GLITTER;385
RO;12650;NUPRID 200 SL;0,94
RO;12654;;3
RO;12654;SPINTOR;58,5
RO;12661;NEXOL 10 WG;38
RO;12662;;30
RO;12662;METAFOL 700 SC;250
RO;12671;;6,81
RO;12671;HARMONY 50 SX;442,66
RO;12671;HARMONY 50 SX GR 20;0,26
RO;12671;HARMONY 50 SX GR 50;0,1
RO;12671;HARMONY 50 SX x 16 gr;0,12
RO;12671;HARMONY 50 SX x 20 gr;26,54
RO;12671;HARMONY 50 SX x 50 gr;5,25
RO;12671;HARMONY 50 SX x 50 gr (+TUAREG x 5);5,05
RO;12678;CERALL;2.200,00
RO;12696;TEBUZOL S DISPERSS;970
RO;12706;PERMIT;1,05
RO;12706;PERMIT x 150 gr;1,2
RO;12722;OSSICLOR 20 FLOW;3
RO;12734;JUPITER R DF;62
RO;12737;AIRONE PIU';5.456,00
RO;12737;AIRONE PIU' WG;530
RO;12741;GEMINISTAR;60
RO;12747;RAMETTE;30
RO;12748;GRIFON PIU';380
RO;12754;VERDRAM HI BIO;3
RO;12756;DICOTEX;10,3
RO;12759;OSIICLORO 35W/G;15,5
RO;12759;OSSICLOR 35 WG;196,3
RO;12759;ZAPI OSSICLOR 35 WG KG.1 OSSICLORUR;22
RO;12761;AGRIMIX TOP;12
RO;12770;ALAR 85 GOLD;29
RO;12770;ALAR 85 GOLD x 1 kg;1
RO;12779;RAMEDIT COMBI WG x 1 kg;320
RO;12779;RAMEDIT COMBI WG x 10 kg;1.530,00
RO;12784;FARO WG;253
RO;12788;ADIGOR;41,5
RO;12788;ADIGOR  X 1,5;9
RO;12790;IMPACT 250 SC;40
RO;12796;SUGAR 500;222
RO;12806;FEDOR;1.323,00
RO;12806;FEDOR x 1 kg;107
RO;12813;AMISTAR XTRA;778
RO;12813;AMISTAR XTRA x 1 lt;15
RO;12813;AMISTAR XTRA x 5 lt;10
RO;12824;MERLIN EXPERT;4
RO;12824;MERLIN EXPERT  x 1;24
RO;12828;SITOFEX;29
RO;12828;SITOFEX x 1 lt;3
RO;12831;INSIGNIA;10
RO;12832;OPERA;47
RO;12837;;16
RO;12837;ARIUS SYSTEM PLUS;69
RO;12837;ARIUS SYSTEM PLUS x 1 lt;81
RO;12843;CHECKMATE CM-F;84,25
RO;12844;CHECKMATE OFM-F;19,5
RO;12847;EAGLE;0,24
RO;12849;BENPROP PRO;1.883,00
RO;12857;PROREX;213,5
RO;12857;PROREX x 0,5 lt;4
RO;12858;PRODIGY;42
RO;12858;PRODIGY x 1 lt;3
RO;12859;BORNEO;36,85
RO;12862;CANTUS;157
RO;12862;CANTUS x 1 kg;5
RO;12865;DANTOP 50 WG;4,4
RO;12866;COLLIS;121
RO;12866;COLLIS x 1 lt;31
RO;12868;BELLIS;287
RO;12868;BELLIS x 1 kg;56
RO;12869;SIGNUM;1.156,00
RO;12869;SIGNUM x 1 kg;693
RO;12878;RIDOMIL GOLD COMBI PEPITE;338
RO;12878;RIDOMIL GOLD COMBI PEPITE x 1 kg;5
RO;12880;ATLANTIS WG;34,5
RO;12881;HUSSAR  MAXX;5,4
RO;12881;HUSSAR MAX;13,8
RO;12881;HUSSAR MAXX;125,4
RO;12883;;45
RO;12883;PROSPER 300 CS;70
RO;12883;PROSPER 300 CS x 1 lt;4
RO;12886;;10
RO;12886;KARATHANE STAR;192
RO;12886;KARATHANE STAR x 1 lt;65
RO;12888;LEPINOX PLUS;299
RO;12888;LEPINOX PLUS x 1 kg;35
RO;12889;PICKER SC;4,4
RO;12889;PICKER SC ML.200;31
RO;12903;DOLESE WG;86
RO;12904;BRAITEX;3
RO;12916;CYMONE 25 WP;561
RO;12920;AGORA;6
RO;12924;;80
RO;12924;JUPITER WG;769
RO;12933;MOXYL 20 WP x 1 kg;205
RO;12940;KARATE ZEON 1.5;4.267,50
RO;12940;KARATE ZEON 1.5 x 1 lt;120
RO;12940;KARATE ZEON 1.5 x 5 lt;5
RO;12953;ARAMO 50;10
RO;12960;STARPROP;37
RO;12972;GLYFOS DAKAR;15.720,00
RO;12972;GLYFOS DAKAR x 10 kg;1.270,00
RO;12973;GLYFOS RAPID;140
RO;12994;VIVER ELITE WG;422,5
RO;13020;MICRORAM 35 WG;7.827,90
RO;13039;POTCLEAN 2G;22
RO;13049;SULCOGAN;567
RO;13049;SULCOGAN x 5 lt;15
RO;13055;MACHO;9
RO;13061;;23
RO;13061;BIOBIT DF;102
RO;13062;DIPEL DF;50,03
RO;13062;DIPEL DF x 1 kg;42
RO;13063;REGULEX 10 SG;5,53
RO;13064;VITENE ULTRA SC;62
RO;13065;DOMARK 125;760,25
RO;13068;NEORAM WG;200
RO;13071;SIAFEN x 0,5 lt;30
RO;13072;MANNIX;3,5
RO;13076;BRAITEX  PRO;73
RO;13081;NISSORUN;4,5
RO;13084;TELDOR PLUS;70,7
RO;13084;TELDOR PLUS x 1 lt;6
RO;13093;;95
RO;13093;STOMP ACQUA LT 1;3
RO;13093;STOMP ACQUA LT 5;5
RO;13093;STOMP AQUA;4.487,00
RO;13093;STOMP AQUA x 1 lt;123
RO;13093;STOMP AQUA x 10 lt;240
RO;13093;STOMP AQUA x 5 lt;700
RO;13095;DIRA-MAX LG;20
RO;13098;;680
RO;13098;ROUNDUP POWER 2.0;20.994,00
RO;13098;ROUNDUP POWER 2.0 LT 5;50
RO;13104;ALGOR PLATIN;315
RO;13106;IKANOS;76
RO;13106;IKANOS x 1 lt;157
RO;13106;IKANOS x 5 lt;1.515,00
RO;13108;CURAME BORDEAUX;463
RO;13111;THIOCUR FORTE;236
RO;13111;THIOCUR FORTE x 1 lt;70
RO;13120;MYSTIC 430 SC;39
RO;13120;MYSTIC 430 SC x 1 lt;356
RO;13126;CABRIO DUO;1.557,00
RO;13126;CABRIO DUO x 1 lt;211
RO;13126;CABRIO DUO x 5 lt;1.445,00
RO;13128;;75
RO;13128;GOLTIX 50 WG;1.757,00
RO;13128;GOLTIX 50 WG x 5 kg;5
RO;13132;TRIPION E x 5 lt;140
RO;13133;NIBER 35 WG x 0,5 kg;0,5
RO;13138;SYSTHANE 4,5 PLUS;44
RO;13143;;40
RO;13143;MEZENE WG;1.163,00
RO;13149;POLTIGLIA MANICA 20 WG;521
RO;13150;CURAME 35 WG;101
RO;13152;OPTIX R DISPERSS;72
RO;13152;OPTIX R DISPERSS x 1 kg;19
RO;13153;BANVEL S;41
RO;13153;BANVEL S x 1 lt;171
RO;13153;BANVEL S x 5 lt;100
RO;13154;MONDAK 480 S;280
RO;13158;REMEDIER;28
RO;13160;FORUM TOP x 5 kg;220
RO;13166;SPINNER WG;12
RO;13167;;11
RO;13167;POMARSOL 80 WG;8.085,00
RO;13168;LAUDIS;14.538,00
RO;13168;LAUDIS  LT 1;40
RO;13168;LAUDIS x 1 lt;747
RO;13168;LAUDIS x 5 lt;3.080,00
RO;13186;TITUS MAIS EXTRA;11,68
RO;13186;TITUS MAIS EXTRA x 160 gr;14,24
RO;13205;ZOLFO MANICA SCORREVOLE DOPPIO RAFF;1.500,00
RO;13212;CONFIDOR 200 O-TEQ;1,5
RO;13212;CONFIDOR 200 O-TEQ x 0,5 lt;0,5
RO;13213;;40
RO;13213;R 6 ALBIS KG 1;1
RO;13213;R6 ALBIS;8
RO;13213;R6 ERRESEI ALBIS;545
RO;13213;R6 ERRESEI ALBIS x 1 kg;3
RO;13218;FINALSAN PLUS;280
RO;13218;NEU FINALSAN PLUS PROFESSIONAL 10 L;70
RO;13236;BULLET;1.804,00
RO;13242;;1
RO;13242;NICOGAN V.O.;3.395,00
RO;13242;NICOGAN V.O. LT 1;26
RO;13244;ZOLFO VENTILATO STELLA;425
RO;13252;PLAYER 250 SC;656
RO;13253;PLAYER SC;1.400,00
RO;13254;PLAYER 25 WG;300
RO;13283;GARAK;5
RO;13285;SEVERAL;8
RO;13285;SEVERAL x 1 lt;3
RO;13296;POKER 7,5;509
RO;13296;POKER 7.5;221,5
RO;13296;POKER 75 KG. 0,500;5,5
RO;13296;POKER 75 KG. 1;6
RO;13299;MAGIO';982
RO;13307;BERLINA;2
RO;13308;DICARZOL 10 SP;25
RO;13309;DRAKE 26;38
RO;13313;CASPER;98
RO;13313;CASPER x 1 kg;7
RO;13314;CABRIO EC;16
RO;13323;SULFY 80 WDG;10,2
RO;13323;ZAPI SULFY OIDIO ZOLFO WDG 1 KG;29
RO;13324;CUPRIZOL S;7,75
RO;13326;OMES;2.000,00
RO;13327;;8,05
RO;13327;GRANSTAR ULTRA SX;239,95
RO;13327;GRANSTAR ULTRA SX GR 200;0,2
RO;13327;GRANSTAR ULTRA SX GR 50;1,75
RO;13327;GRANSTAR ULTRA SX x 200 gr;58,2
RO;13327;GRANSTAR ULTRA SX x 50 gr;24,25
RO;13329;OMNEX 10 EC;116
RO;13332;;47,5
RO;13332;VIP;126,5
RO;13335;DUPLOSAN KV;8
RO;13352;DIREX 7,5 GR;7
RO;13352;DIREX 7,5GR;60
RO;13352;KOL DIREX 7,5 BAR KG.1;38
RO;13352;KOL DIREX 7,5 BUS KG.1;18
RO;13355;TRONE;1
RO;13361;DECIS ENERGY O-TEQ;76,32
RO;13361;DECIS ENERGY O-TEQ x 1 lt;25
RO;13367;DIVO;310,5
RO;13370;WARRANT 200 SL;40,75
RO;13375;NUPRID 200 SC;36
RO;13375;NUPRID 200 SC LT 1;1
RO;13375;NUPRID 200 SC x 0,25 lt;4,25
RO;13375;NUPRID 200 SC x 1 lt;4
RO;13377;;156
RO;13378;ORTIVA TOP;12
RO;13378;ORTIVA TOP x 1 lt;4
RO;13382;;35
RO;13382;PERGADO R PACK HA 1  ESAU.;1
RO;13382;PERGADO R PACK HA 2  ESAU.;2
RO;13382;PERGADO SC;86
RO;13382;PERGADO SC x 0,5 lt;42
RO;13382;PERGADO SC X 1 (+ ZOMINEX);10
RO;13382;PERGADO SC x 1 lt;10
RO;13386;;25
RO;13386;PROSARO;4.942,00
RO;13387;;22,79
RO;13387;FLORAMIX;188,68
RO;13387;FLORAMIX x 0,530 kg;106
RO;13389;AFFIRM;10.251,00
RO;13389;AFFIRM x 1 kg;111
RO;13389;AFFIRM x 10 kg;680
RO;13389;AFFIRM x 5 kg;190
RO;13391;CYTHRIN 50 EC;2,88
RO;13394;IMIDASECT;13
RO;13402;LUMA-KL;127
RO;13409;SILFUR WG;3.500,00
RO;13409;SILFUR WG (80%) x 1 kg;36
RO;13409;SILFUR WG (80%) x 10 kg;2.550,00
RO;13410;FRUTTENE 76 WG;23
RO;13414;ARES 5 SC;290
RO;13440;SATEL;3,54
RO;13443;FUNGIBEN;1,2
RO;13447;HELMSTAR 75 WG;17,73
RO;13447;HELMSTAR 75 WG GR 10;0,67
RO;13451;SPARVIERO;214,75
RO;13455;;17
RO;13455;ANTIGRAM GOLD;1.572,00
RO;13455;ANTIGRAM GOLD x 1 lt;24
RO;13455;ANTIGRAM GOLD x 5 lt;15
RO;13466;;1
RO;13466;SPOTLIGHT PLUS;698
RO;13466;SPOTLIGHT PLUS x 1 lt;182
RO;13468;CLINER;0,45
RO;13471;NICOZEA OD;8
RO;13472;ALIEN;3
RO;13482;IMIDACHEM;77
RO;13486;JUDO;391
RO;13489;CYMBAL WG x 0,5 kg;2
RO;13491;CYMBAL 20;1,5
RO;13495;RYU-RUN WG;1.340,00
RO;13500;CIPREN 10 WG;0,2
RO;13522;SPIDER KILL KG 0,500;1
RO;13540;QUASAR R FLOW;96
RO;13544;STADIO M  x 2,5;2,5
RO;13551;GIOVE;2
RO;13551;GIOVE x 1 lt;2
RO;13552;ZOLVIS 80 SECTOR;780
RO;13560;FORZA;66
RO;13576;RAMEPLANT WG;57,6
RO;13578;RAME CAFFARO BLU WG NEW;533
RO;13579;COPPER 12;9,5
RO;13585;SOLOFOL;10
RO;13586;VERDERAME 20 WG;51,1
RO;13592;VOLARE;278,25
RO;13592;VOLARE x 1 lt;969
RO;13607;NOBIL;10
RO;13635;POLT.BORD.20 PB x 25 kg (MANICA);25
RO;13635;POLTIGLIA 20 PB MANICA;551
RO;13639;ACRAMITE 480 SC;4
RO;13639;ACRAMITE 480 SC x 0,250 lt;2
RO;13640;IMPRINT;171,25
RO;13648;SIARAM 20 WG;20
RO;13648;SIARAM 20 WG x 1 kg;409
RO;13648;SIARAM 20 WG x 10 kg;2.080,00
RO;13648;SIARAM 20 WG x 20 kg;3.420,00
RO;13667;AFIDANE 200 SL;3
RO;13687;BURT;22
RO;13689;FLINT MAX;10,5
RO;13689;FLINT MAX x 0,5 kg;0,5
RO;13691;TRIDAN COMBI T;137
RO;13693;BACILLUS CHEMIA;1.154,00
RO;13698;VIVANDO;67,75
RO;13698;VIVANDO x 0,25 lt;1,5
RO;13701;RUBIN SX;76
RO;13702;GEOTOX;36
RO;13702;GEOTOX 7,5;94,8
RO;13702;GEOTOX 7,5 C;2
RO;13702;GEOTOX 7,5C;13
RO;13707;IMPACT SUPREME;1.513,00
RO;13707;IMPACT SUPREME x 1 lt;39
RO;13707;IMPACT SUPREME x 5 lt;420
RO;13709;U 46 PRATI;390
RO;13709;U 46 PRATI x 1 lt;13
RO;13716;CAPTAN ARVESTA 80 WG;10
RO;13719;THIAMON 80 PLUS;2
RO;13719;THIAMON 80 PLUS KG. 1;7
RO;13721;AFIDINA QUICK;96
RO;13722;CAL-EX 1.9 EC;30
RO;13736;;3,75
RO;13736;TRACE;1.080,00
RO;13736;TRACE LT 0,750;21
RO;13736;TRACE x 0,750 lt;78
RO;13741;SELECTA DISPERSS;12
RO;13753;;41
RO;13753;GAL-GONE;21
RO;13758;OPTIX WG;6
RO;13765;SHERPA 100 EW x 1 lt;268
RO;13771;;6
RO;13771;NIMROD 250 EW;542
RO;13771;NIMROD 250 EW x 1 lt;200
RO;13785;QUANTUM MZ (IDRO) x 5 kg;10
RO;13786;;50
RO;13786;QUANTUM R;176
RO;13787;RIVIERA R;1.121,00
RO;13791;GEATER-STAR;12,5
RO;13792;STABILAN;162
RO;13793;RUNNER M;17
RO;13794;SPADA WDG;1.815,00
RO;13796;CELL;35
RO;13807;RAVENAS;56,75
RO;13807;RAVENAS x 0,250;14,5
RO;13809;FORCE ULTRA;4.280,00
RO;13809;FORCE ULTRA x 10 kg;5.540,00
RO;13812;NOTO 40 OD;2.860,00
RO;13815;TUTOR 18-15;22
RO;13817;ALIAL WG;1.049,00
RO;13818;ALIAL TRIPLE WP;32
RO;13820;BAYTEROID 25 EC;474
RO;13823;ALVERDE;429,59
RO;13823;ALVERDE x 1 lt;12
RO;13823;ZAPI DORIFORA E LEPID. ALVERDE 50 M;0,35
RO;13828;ELEGANT 05 EC;1
RO;13837;SILWET L-77;46
RO;13843;ZELIG 480 EC;947
RO;13852;DIQUA;295
RO;13858;MEDIATOR EXTRA SL;0,55
RO;13876;APACHE;2
RO;13877;KITT PRONTO;14
RO;13885;MICROCOPP NEUTRO FL;1.451,00
RO;13885;MICROCOPP NEUTRO FL x 1 lt;57
RO;13888;FANTIC F NC WG;30
RO;13899;;30
RO;13905;BANJO;812
RO;13905;BANJO (Nuova Etichetta Pero) x 1 lt;275
RO;13913;ORIUS P;2.145,00
RO;13925;BOGARD;4,5
RO;13925;BOGARD x 0,5 lt;132,5
RO;13926;SPONSOR;21,5
RO;13943;SINPHOSATE;100
RO;13955;MITIGREEN;1.372,00
RO;13981;;22
RO;13981;CORAGEN;2.382,88
RO;13981;CORAGEN 300 ML;0,9
RO;13981;CORAGEN 500 ML;0,5
RO;13981;CORAGEN x 0,300 lt;153
RO;13981;CORAGEN x 0,400 (+AVAUNT)TW.P MAIS;53,6
RO;13998;PYRUS 400 SC;85
RO;14005;;127
RO;14005;CLORTOSIP 500 SC;10.494,00
RO;14005;CLORTOSIP 500 SC LT. 1;17
RO;14005;CLORTOSIP 500 SC x 1 lt;528
RO;14005;CLORTOSIP 500 SC x 5 lt;1.560,00
RO;14006;INDIPENDENT 25 PB;13
RO;14018;BASIC;100
RO;14021;BREK DUO;1.175,00
RO;14024;PERFIL 10 WP;10,5
RO;14058;;39,5
RO;14058;FEINZIN 70 DF;229,25
RO;14058;FEINZIN 70 DF x 0,250 kg;8,75
RO;14061;TRIANUM-P;11,5
RO;14062;ZOXIUM 240 SC;255
RO;14074;KOL TRINEX 250 EW 250 ML. PER OIDIO;3,75
RO;14074;TRINEX 250 EW;5,5
RO;14074;TRINEX 250 EW x 1 lt;7
RO;14077;CHAMP 20 DF;3
RO;14077;CHAMP 20 DF x 10 kg;1.910,00
RO;14085;PUNTIL MZ;2
RO;14091;APHOX;252
RO;14093;ANTARKTIS;334
RO;14098;CRITTOX GD 75 x 10 kg;1.220,00
RO;14099;ASPOR WDG;300
RO;14101;CARAMBA;1.158,00
RO;14101;CARAMBA x 1 lt;3.712,00
RO;14102;BORDOFLOW NEW;80
RO;14107;MICROBAGNABILE SC;90
RO;14119;VISIR PENCOTECH;50
RO;14123;ZETARAM NEW TECH;10
RO;14127;MEVAXIL COBRE;1,75
RO;14128;ZIGNAL;3
RO;14135;GRENADIER 75 DF;0,45
RO;14136;OBERON;23
RO;14137;ALTACOR;89,9
RO;14137;ALTACOR x 100 gr;3,9
RO;14137;ALTACOR x 300 gr;300
RO;14154;BAYER PIRETRO ACTIGREEN  20 ML;16
RO;14154;PIRETRO ACTIGREEN;1,36
RO;14155;KOMPASS;20
RO;14155;KOMPASS x 10 kg;1.080,00
RO;14156;;72
RO;14156;CURZATE R WG;144
RO;14158;CHLORCYRINE 550 EC;15
RO;14163;SARMOX 440 WG;151
RO;14165;;25
RO;14165;NANDO MAXI;1.557,00
RO;14165;NANDO MAXY x 1 lt;23
RO;14166;;1
RO;14166;ZETOR;1.796,00
RO;14168;SILWET VELONEX;298
RO;14168;SILWET VELONEX x 1 lt;3
RO;14169;PERGADO R;260
RO;14178;TRI-BASE;160
RO;14182;;10
RO;14182;ARES 25 WG;3.501,00
RO;14182;ARES 25 WG KG. 1;14
RO;14187;SILWET FASTEX;7
RO;14193;SARMOX 45 DG;136
RO;14195;KENDO WITH ZEON TECHNOLOGY;20
RO;14195;KENDO WITH ZEON TECNOLOGY x 1 lt;256
RO;14204;75A;8
RO;14208;RELDAN LO;1.502,00
RO;14214;RAPSAN 500 SC;14
RO;14232;CYTHRIN MAX;12
RO;14245;GOLEM;130,5
RO;14248;CLOR QUICK;1,7
RO;14248;ZAPI CLOR QUICK ML 100 UNIV.ABBATT.;0,2
RO;14257;UNDERLINE 0,2 G;300
RO;14262;GREENEX NF;6,02
RO;14263;BIOTEN;10
RO;14273;NIFURON;16
RO;14290;;2,75
RO;14290;KOHINOR 200 SL;1.428,21
RO;14290;KOHINOR 200 SL 250 ML;0,75
RO;14290;KOHINOR 200 SL 5 ML;0,08
RO;14290;KOHINOR 200 SL 50 ML;0,95
RO;14290;KOHINOR 200 SL x 0,25 lt;11
RO;14290;KOHINOR 200 SL x 1 lt;131
RO;14290;KOL KOHINOR 200 SL DA 5 ML;4,8
RO;14290;KOL KOHINOR 200SL ML.100;8,3
RO;14290;KOL KOHINOR 200SL ML.50;6,95
RO;14294;EXECUTIVE;15,7
RO;14294;EXECUTIVE x 100 gr;9,5
RO;14336;NEMATHORIN 150 EC;50
RO;14342;;39
RO;14342;VOLCAN COMBI SC;399
RO;14342;VOLCAN COMBI SC x 1 lt;72
RO;14342;VOLCAN COMBI SC x 5 lt;10
RO;14348;AGRON;65
RO;14350;ZOLFO RAMATO 5;9
RO;14376;MASTER QUICK;2,38
RO;14387;NERVURE SUPER;165
RO;14389;DESSICASH 200 SL;1
RO;14389;DESSICASH 200 SL x 1 lt;23
RO;14392;WYLOM OP;5
RO;14405;;15
RO;14405;MERLIN FLEXX;3.618,00
RO;14405;MERLIN FLEXX LT 2;20
RO;14405;MERLIN FLEXX x 10 lt;40
RO;14405;MERLIN FLEXX x 2 lt;110
RO;14407;RUNWAY;19
RO;14409;;30
RO;14409;MOVENTO 48 SC;3.696,84
RO;14409;MOVENTO 48 SC x 1 lt;13
RO;14409;MOVENTO 48 SC x 5 lt;380
RO;14414;DUSTY;58,5
RO;14418;PULSAR 40 SL;1.863,00
RO;14418;PULSAR 40 SL (IP) x 1 lt;38
RO;14418;PULSAR 40 SL (IP) x 5 lt;200
RO;14419;TRUST SC;4,75
RO;14423;PRIMISOL 80 WDG;50
RO;14426;;3
RO;14426;GEODIS;256
RO;14426;GEODIS x 1 kg;106
RO;14431;;1
RO;14431;LENTAGRAN 45 WP;50,8
RO;14431;LENTAGRAN 45 WP x 1 kg;8
RO;14432;METRIC;250
RO;14432;METRIC x 5 lt;120
RO;14461;CURIT DUO;8
RO;14468;ROMIN T;200
RO;14469;ROMIN 600;335
RO;14472;PARTNER EC;848
RO;14488;ANTRACOL 70 WG;840
RO;14488;ANTRACOL 70 WG x 10 kg;360
RO;14510;ELECTIS TRIO;17
RO;14514;BOOSTER;44
RO;14523;CARPO 600;153,5
RO;14527;SUDOKU TOP;4
RO;14543;FLUIZOL;115
RO;14550;HOOK 480 PLUS;5
RO;14575;TRIMMER SX;20,28
RO;14576;CUTRIL EVO;2.510,00
RO;14577;FORUM R 3B;1.564,00
RO;14577;FORUM R 3B x 1 kg;47
RO;14579;RAMIN 30 DF;286
RO;14580;ROBO' EC;0,1
RO;14582;FENGIB;29
RO;14582;FENGIB x 1 lt;2
RO;14629;GAT TESSLA 25 WG;1
RO;14636;;30
RO;14636;BIOLID UP;4.711,00
RO;14636;BIOLID UP x 1 lt;160
RO;14638;;1.340,00
RO;14638;NETOR;690
RO;14642;;15
RO;14642;RIDOMIL GOLD R WG;6.084,00
RO;14642;RIDOMIL GOLD R WG x 1 kg;379
RO;14642;RIDOMIL GOLD R WG x 10 kg;1.930,00
RO;14642;RIDOMIL GOLD R WG x 5 kg;1.000,00
RO;14643;CENTIUM 36 CS;65
RO;14655;VIVER WDG;100
RO;14660;BTK 32 WG;6,5
RO;14663;ACCEL 40 SG;0,35
RO;14664;BERELEX 40 SG;8,94
RO;14664;BERELEX 40 SG (astuccio 25 gr);0,12
RO;14682;KATANA;1
RO;14683;GIB-BIO;1
RO;14685;ACROBAT R 3B x 10 kg;1.490,00
RO;14687;QUAD-GLOB 200 SL;1.090,00
RO;14687;QUAD-GLOB 200 SL x 1 lt;9
RO;14687;QUAD-GLOB 200 SL x 5 lt;80
RO;14693;;24
RO;14697;ENERVIN DUO;61
RO;14697;ENERVIN DUO x 1 lt;45
RO;14697;ENERVIN DUO x 5 lt;5
RO;14699;GEOXE;125
RO;14699;GEOXE x 1 kg;0,5
RO;14728;CELIO;108,25
RO;14735;;7
RO;14735;RANMAN TOP;223,9
RO;14735;RANMAN TOP x 2 lt;72
RO;14737;;60
RO;14737;ROUNDUP PLATINUM;21.506,00
RO;14737;ROUNDUP PLATINUM LT 15;120
RO;14737;ROUNDUP PLATINUM LT 5;105
RO;14737;ROUNDUP PLATINUM x 15 lt;600
RO;14737;ROUNDUP PLATINUM x 200 lt;400
RO;14739;DECIS PROTECT;5
RO;14758;KARATE HOBBY;0,3
RO;14758;KARATE WITH ZEON TECHNOLOGY 1.5 HOB;0,6
RO;14759;SULC0CAP;53
RO;14759;SULCOCAP;35
