crop_code,crop_it,area_code,area_it,year,superficie_totale_ha,superficie_in_produzione_ha,produzione_raccolta_q,produzione_totale_q,resa_calculada_t_ha,dataflow,source_url
APPLE,mela,ITD5,Emilia-Romagna,2025,5092,,1840961,1840961,36.15,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITD5,Emilia-Romagna,2026,5068,,1920445,1920445,37.89,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITDA,Trentino Alto Adige / Südtirol,2024,27255,,15186040,15186040,55.72,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITDA,Trentino Alto Adige / Südtirol,2025,27309,,15347510,15347510,56.2,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITDA,Trentino Alto Adige / Südtirol,2026,27266,,15191600,15191600,55.72,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE1,Toscana,2024,689,,178852,179387,25.96,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE1,Toscana,2025,697,,187665,187910,26.92,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE1,Toscana,2026,700,,190020,190230,27.15,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE2,Umbria,2024,246,,44640,44640,18.15,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE2,Umbria,2025,248,,45000,45000,18.15,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE2,Umbria,2026,248,,45000,45000,18.15,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE3,Marche,2024,191,,45950,45950,24.06,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE3,Marche,2025,211,,56720,56720,26.88,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE3,Marche,2026,204,,59450,59450,29.14,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE4,Lazio,2024,397,,47258,51360,11.9,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE4,Lazio,2025,389,,46703,50330,12.01,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITE4,Lazio,2026,370,,39686,41880,10.73,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF1,Abruzzo,2024,508,,122398,123398,24.09,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF1,Abruzzo,2025,508,,122900,123900,24.19,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF1,Abruzzo,2026,357,,87500,87500,24.51,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF2,Molise,2024,170,,31400,31400,18.47,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF2,Molise,2025,170,,34800,34800,20.47,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF2,Molise,2026,170,,36500,36500,21.47,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF3,Campania,2024,3450,,563590,565590,16.34,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF3,Campania,2025,3449,,575500,575500,16.69,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF3,Campania,2026,3470,,263400,267400,7.59,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF4,Puglia,2024,288,,55350,58250,19.22,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF4,Puglia,2025,293,,56360,58350,19.24,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF4,Puglia,2026,283,,58060,59450,20.52,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF5,Basilicata,2024,425,,83888,84108,19.74,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF5,Basilicata,2025,425,,83888,84108,19.74,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF5,Basilicata,2026,429,,87308,88688,20.35,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF6,Calabria,2024,527,,94405,95100,17.91,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF6,Calabria,2025,527,,93935,94540,17.82,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITF6,Calabria,2026,594,,104937,105897,17.67,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG1,Sicilia,2024,675,,136910,152731,20.28,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG1,Sicilia,2025,675,,161939,163938,23.99,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG1,Sicilia,2026,712,,156471,158208,21.98,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG2,Sardegna,2024,250,,48753,49713,19.5,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG2,Sardegna,2025,250,,46385,46385,18.55,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
APPLE,mela,ITG2,Sardegna,2026,250,,46047,47007,18.42,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,IT,Italia,2024,239079,,8915186,8992796,3.73,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,IT,Italia,2025,228832,,8439955,8504597,3.69,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,IT,Italia,2026,230670,,9366129,9435804,4.06,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC1,Piemonte,2024,17161,,952862,952862,5.55,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC1,Piemonte,2025,22196,,810733,810733,3.65,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC1,Piemonte,2026,14075,,821654,821654,5.84,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC3,Liguria,2024,96,,2947,2947,3.07,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC3,Liguria,2025,146,,5300,5300,3.63,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC3,Liguria,2026,101,,3322,3322,3.29,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC4,Lombardia,2024,24289,,1401467,1401467,5.77,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC4,Lombardia,2025,19912,,1259395,1259395,6.32,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITC4,Lombardia,2026,19518,,1242632,1242632,6.37,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD1,Provincia Autonoma Bolzano / Bozen,2024,50,,1850,1850,3.7,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD1,Provincia Autonoma Bolzano / Bozen,2025,42,,1470,1470,3.5,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD1,Provincia Autonoma Bolzano / Bozen,2026,35,,1225,1225,3.5,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD2,Provincia Autonoma Trento,2024,4,,150,150,3.75,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD2,Provincia Autonoma Trento,2025,4,,150,150,3.75,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
