Prodotti fitosanitari venduti nell'anno 2019 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
PD;8735;;227,00
PD;8735;TREBON UP;415,00
PD;8742;;40,00
PD;8742;INDAR 5 EW;13,00
PD;8743;GREENEX;0,50
PD;8793;EMINENT 40 EW PFNPE;0,50
PD;8795;;421,00
PD;8795;VERTIMEC EC;419,25
PD;8797;;181,00
PD;8797;BINAL PRO;152,00
PD;8801;;23,00
PD;8801;SCORE 25 EC;230,25
PD;8836;MIMIC;69,00
PD;8837;GERMON BEWURZELUNGSPUDER PER TALEE ;0,16
PD;8838;;12,50
PD;8838;GERMON BEWURZELUNGSPUDER PER TALEE ;2,32
PD;8841;;48,00
PD;8841;CYREN 5 G;1.665,50
PD;8841;CYREN 5 G PFnPE;53,50
PD;8843;NISSHIN;10,00
PD;8874;;260,00
PD;8874;ETOFUM - FL;109,00
PD;8886;;29,16
PD;8886;SAFARI;36,84
PD;8888;PRIDE ULTRA;1,00
PD;8909;FUNGIMAN COMBI;21,00
PD;8929;;10,00
PD;8933;SOLEAS;76,00
PD;8934;;88,00
PD;8934;SCALA;89,10
PD;8937;;3,00
PD;8987;CONFIDOR 200 SL;3,75
PD;9005;;409,00
PD;9005;AGIL;3.698,00
PD;9010;;220,00
PD;9010;RAMEZIN COMBI WG;1.269,00
PD;9012;;492,00
PD;9012;CUPROCAFFARO MICRO;2.967,00
PD;9012;CUPROCAFFARO MICRO PFnPE;4,00
PD;9041;;9.420,00
PD;9126;CONCORDE COMBI PFnPE;116,00
PD;9131;;18,00
PD;9131;PYRINEX ME;0,30
PD;9148;SYLLIT 400 SC;33,00
PD;9210;;6,00
PD;9210;QUADRIS;61,00
PD;9244;;40,00
PD;9244;ZIRAMIT 76 WG;545,00
PD;9267;;5.980,00
PD;9267;ROYALTAC N;460,00
PD;9280;TOPAS 200 EW;1,00
PD;9286;OHAYO;3,00
PD;9298;;175,00
PD;9298;METHAM NA 51;0,00
PD;9306;;32,00
PD;9306;PROPLANT;5,00
PD;9311;CUPROSSIL IDRO 25 WP;24,00
PD;9322;GOLTIX STAR;15,00
PD;9339;;506,00
PD;9339;BENATAL EXPERT;30,00
PD;9339;BETANAL EXPERT;1.174,00
PD;9342;;1,50
PD;9342;DELTRIN;70,50
PD;9342;DELTRIN PFnPE;30,00
PD;9371;;2,44
PD;9371;PEAK;0,40
PD;9373;;36,00
PD;9373;CHORUS;45,00
PD;9374;;4,00
PD;9374;MATCH TOP;7,00
PD;9410;;303,00
PD;9410;SUMICIDIN ECHO;4,00
PD;9411;RADIP ORMON PFnPE;7,00
PD;9420;OSSIRAM 70 FLOW;525,00
PD;9422;;308,45
PD;9422;EVADE;537,10
PD;9422;EVADE 1 lt;4,00
PD;9422;EVADE 250 ml;1,75
PD;9448;RIFLE 3-18 R BLU;354,00
PD;9449;EMERALD COMBI;138,00
PD;9449;EMERALD COMBI PFnPE;2,50
PD;9463;KLARO KIT;5,00
PD;9509;;5,00
PD;9509;PROMALIN NT;16,00
PD;9531;SEQURA WG;25,00
PD;9575;DRIBBLING 240 EC;27,00
PD;9578;;444,00
PD;9578;SWITCH;826,75
PD;9612;OSSICLOR 30;484,00
PD;9627;;12,00
PD;9631;METRIN EC;531,00
PD;9634;;115,00
PD;9634;CARNIVAL RIO;129,00
PD;9655;PRIMIAL WG;10,00
PD;9668;;12,70
PD;9668;RUFAST E-FLO;40,47
PD;9678;M70 DF;37,00
PD;9679;KRISTAL 32 WG;144,00
PD;9694;;4,00
PD;9694;SIMITAR 5 EW;10,00
PD;9695;;4,50
PD;9695;PERLAN;0,50
PD;9696;;36,00
PD;9705;;46,00
PD;9705;PREVITER;28,95
PD;9723;;310,00
PD;9723;DE-SPROUT N;100,00
PD;9724;TIOWETTING DF;5.032,00
PD;9724;TIOWETTING DF PFnPE;4,00
PD;9730;CUPROSSIL IDRO 25 WP BLU;10,00
PD;9744;;25,00
PD;9744;SCORE 10 WG;15,00
PD;9747;FURY;0,02
PD;9757;;449,00
PD;9757;SPYRALE;344,00
PD;9767;NUFOS 5 G;63,00
PD;9767;NUFOS 5 G PFnPE;12,00
PD;9787;MICROBAGNABILE WG;347,00
PD;9790;;473,00
PD;9790;CONTATTO 320;101,00
PD;9800;;145,51
PD;9800;MAVRIK 20 EW;137,02
PD;9802;COPREN HI BIO;692,00
PD;9809;;140,00
PD;9809;MALVIN 80 WG;17,00
PD;9813;DICLOPYR;7,00
PD;9843;;66,00
PD;9843;BASAGRAN SG;168,00
PD;9872;;140,00
PD;9872;AKRIS;440,00
PD;9880;SOL MICRO GD;50,00
PD;9900;;1,00
PD;9905;THIOCUR 20 EW;83,00
PD;9941;;2.396,00
PD;9941;BUMPER P;90,00
PD;9954;;1.152,00
PD;9954;JOKER;3.223,00
PD;9954;JOKER 1 lt;3,00
PD;9963;;103,00
PD;9963;METIDANE 22;192,00
PD;9995;;5,00
PD;9995;ARIUS;54,00
PD;10005;SCOTTS WEEDCONTROL PFnPE;15,00
PD;10029;KING;2,88
PD;10048;KUMULUS TECNO;560,00
PD;10049;;450,00
PD;10049;DURSBAN 75 WG;219,00
PD;10057;;69,00
PD;10057;ARPEL WDG;27,00
PD;10088;;10,00
PD;10088;MAXIM;0,04
PD;10105;;13,00
PD;10105;RIDOMIL GOLD SL;6,25
PD;10117;;1.186,00
PD;10117;STRATOS ULTRA;1.179,00
PD;10118;;692,00
PD;10118;AMISTAR;514,00
PD;10119;EQUATION PRO;2,00
PD;10127;;6,00
PD;10127;DECIS JET;8,63
PD;10127;DECIS JET PFnPE;60,89
PD;10127;DECIS JET PFnPE 100 ml;0,40
PD;10127;DECIS JET PFnPE 250 ml;5,00
PD;10127;DECIS JET PFnPE 50 ml;2,40
PD;10141;SOFREVAL 80 MICRO;175,00
PD;10158;PIREFLOR PFnPE;0,90
PD;10161;;116,00
PD;10161;ORTIVA;206,60
PD;10175;SPORAMIL R FLOW;123,00
PD;10183;GARLON EV;2,40
PD;10183;GARLON EV 500 ml;70,00
PD;10184;TIMBREL EV;2,50
PD;10209;;2.597,00
PD;10209;GLYFOS ULTRA;216,00
PD;10224;EMME-H;70,00
