"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;11561;NEEMAZAL T/S;0,58
BL;11648;AZACTIVA PFnPE;0,65
BL;11694;CONSERVE SC PFnPE;0,04
BL;11711;MEXIRAM HI BIO;10,00
BL;11779;KOP-TWIN;5,00
BL;11852;SEVEN;12,40
BL;11852;SEVEN PFnPE;66,00
BL;11870;CUPRITAL S.D.I.;6,50
BL;12020;SUCCESS PFnPE;26,75
BL;12043;PREVICUR ENERGY PFnPE;0,65
BL;12048;TIOSOL 80 WG PFnPE;0,50
BL;12068;TEFLUSTAR;25,50
BL;12078;METALIM;20,00
BL;12114;AUXIGER LG PFnPE;0,40
BL;12172;FERRAMOL;35,00
BL;12172;FERRAMOL PFnPE;7,00
BL;12225;TEPPEKI;0,03
BL;12225;TEPPEKI PFnPE;0,29
BL;12315;ORTIVA HOBBY;0,45
BL;12325;MESUROL M PLUS PFnPE;620,00
BL;12344;VEBITHRIN 5 EC;5,00
BL;12344;VEBITHRIN 5 EC PFnPE;1,00
BL;12453;MILDICUT;30,00
BL;12482;LUMAX;2.420,00
BL;12526;ALIETTE ORTO E GIARDINO;5,50
BL;12526;ALIETTE ORTO E GIARDINO PFnPE;2,25
BL;12534;FOXTAIL;0,20
BL;12534;FOXTAIL PFnPE;2,00
BL;12566;PYGANIC 1.4;4,00
BL;12566;PYGANIC 1.4 PFnPE;0,60
BL;12590;DIASTAR MAXI;210,00
BL;12622;QUANTUM;0,50
BL;12671;HARMONY 50 SX;0,04
BL;12692;SPRUZIT INSETTICIDA;10,50
BL;12722;OSSICLOR 20 FLOW;0,50
BL;12722;OSSICLOR 20 FLOW PFnPE;4,50
BL;12756;DICOTEX;2,00
BL;12759;OSSICLOR 35 WG;25,80
BL;12759;OSSICLOR 35 WG PFnPE;25,70
BL;12779;RAMEDIT COMBI WG;1,00
BL;12847;EAGLE;3,68
BL;12847;EAGLE PFnPE;0,55
BL;12859;BORNEO PFnPE;0,14
BL;12940;KARATE ZEON 1.5;1,00
BL;13020;MICRORAM 35 WG PFnPE;28,90
