Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
PD;17;U 46 COMBI FLUID;345,00;;
PD;17;U 46 COMBI FLUID x 1 lt;119,00;;
PD;17;U46 COMBI FLUID X1;25,00;;
PD;17;U 46 COMBI FLUID X 1;8,00;;
PD;40;ETRAVON SYNGENTA;7,00;;
PD;133;U 46 D-FLUID;66,00;;
PD;206;ALBENE x 25 lt;2.225,00;;
PD;206;ALBENE;184,00;;
PD;206;ALBENE x 1 lt;2,00;;
PD;449;MOCAP;2.925,00;;
PD;449;MOCAP x 15 kg;540,00;;
PD;599;ACUPRICO 76 WG;57,00;;
PD;630;REGLONE W;637,00;;
PD;630;REGLONE W 4X5 LT *;615,00;;
PD;630;REGLONE W x 5 lt;200,00;;
PD;630;REGLONE X 1;23,00;;
PD;630;REGLONE X 5;20,00;;
PD;630;REGLONE W x 1 lt;20,00;;
PD;630;REGLONE;3,00;;
PD;747;ZOLFO SPRUZZABILE;1.740,00;;
PD;747;ZOLFO SPRUZ 95% MORMINO PB x 10 kg;440,00;;
PD;779;TRIMANOC 80 WP;20,00;;
PD;844;MICROBAGNABILE 80;20,00;;
PD;886;SENCOR WG;96,50;;
PD;886;SENCOR WG X 0,5;9,50;;
PD;886;SENCOR x 0,5 kg;4,50;;
PD;909;POLISOLFURO DI CALCIO POLISENIO;9.400,00;;
PD;909;POLIS. CALCIO POLISENIO x 250 kg;1.500,00;;
PD;1147;FITONEX COMBI;8,00;;
PD;1155;CHEMOL 90 EL;109,00;;
PD;1156;CHEMOL;6.456,30;;
PD;1156;CHEMOL X LT.5;60,00;;
PD;1156;CHEMOL X 1;23,00;;
PD;1156;CHEMOL 5 LT;5,00;;
PD;1544;MESUROL;2,00;;
PD;1562;ERBITOX E 30 x 1 lt;249,00;;
PD;1573;BASAMID GRANULAT;560,00;;
PD;1573;BASAMID x 20 kg;220,00;;
PD;1573;BASAMID GR               CL 2;20,00;;
PD;1583;MICROTHIOL DISPERSS;22.631,00;;
PD;1583;MICROTHIOL DISPERSS x 25 kg;6.375,00;;
PD;1583;MICROTHIOL DISPERSS x 1 kg;5.025,00;;
PD;1583;MICROTHIOL DISPERSS x 15 kg;1.650,00;;
PD;1600;ETRAVON;1,00;;
PD;1714;KERB 80 EDF;273,00;;
