Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Pretilachlor;51218-49-6;NON_INSCRITE;prétilachlore;
Primisulfuron;;NON_INSCRITE;primisulfuron;
Procymidone;32809-16-8;NON_INSCRITE;procymidone;
Ester méthylique d'acides gras d'huile de soja (CAS n° 67784-80-9);;AUTRE_CAS;ester méthylique d'acides gras d'huile de soja (CAS n° 67784-80-9);
Sodium diacetoneketogulonate;;NON_INSCRITE;diacétoneketogulonate de sodium;
Pyranocumarin;;NON_INSCRITE;pyranocoumarin;
Sodium fluosilicate;;NON_INSCRITE;fluosilicate de sodium;
Sodium hydroxide;;NON_INSCRITE;hydroxide de sodium;
Tar acids;;NON_INSCRITE;acide de goudron;
Seconal;;NON_INSCRITE;seconal;
Beauveria bassiana PPRI5339;;INSCRITE;Beauveria bassiana PPRI5339;
Fenoxycarb;79127-80-3;NON_INSCRITE;fénoxycarb;
Akanthomyces muscarius strain Ve6 (formerly Lecanicillium muscarium strain Ve6);;INSCRITE;Akanthomyces muscarius souche Ve6 | Akanthomyces muscarius strain Ve6;
2-Methyl-3-buten-2-ol;;NON_INSCRITE;2-Méthyl-3-buten-2-ol;
2-Naphthyloxyacetic acid;;NON_INSCRITE;acide 2-Naphthyloxyacetique;
Benalaxyl;71626-11-4;NON_INSCRITE;bénalaxyl;
Benazolin;3813-05-6;NON_INSCRITE;bénazoline  | bénazoline  éthyl;
Bendiocarb;22781-23-3;NON_INSCRITE;bendiocarbe;
Benodanil;15310-01-7;NON_INSCRITE;bénodanil;
Benomyl;17804-35-2;NON_INSCRITE;bénomyl;
Bensulide;;NON_INSCRITE;bensulide;
Bentaluron;;NON_INSCRITE;bentaluron;
Butachlor;;NON_INSCRITE;butachlor;
Butocarboxim;;NON_INSCRITE;butocarboxime;
Cadusafos;95465-99-9;NON_INSCRITE;cadusafos;
Chlorophylline;;NON_INSCRITE;chlorophylline (sel cuprique magnésique de la chlorophylle);
Disodium octaborate tetrahydrate;;NON_INSCRITE;disodium octaborate tétrahydrate;
Plant oils / Gaiac Wood oil;;NON_INSCRITE;huile de plantes / huile de bois de gaïac;
Perchlordecone;;NON_INSCRITE;perchlordécone;
Potassium iodide;;NON_INSCRITE;iodure de potassium;
Potassium permanganate;;NON_INSCRITE;permanganate de potassium;
Profenofos;41198-08-7;NON_INSCRITE;profénofos;
Thiocyclam;;NON_INSCRITE;thiocyclame;
Thiodicarb;59669-26-0;NON_INSCRITE;thiodicarb;
Thiofanox;39196-18-4;NON_INSCRITE;thiofanox;
Thiophanate-methyl;23564-05-8;NON_INSCRITE;Thiophanate-methyl;
Thiourea;;NON_INSCRITE;thiourée;
Tiocarbazil;;NON_INSCRITE;tiocarbazil;
Trans-6-Nonen-1-ol;;NON_INSCRITE;trans-6-Nonen-1-ol;
Triadimenol;55219-65-3;NON_INSCRITE;Triadimenol;
Maltodextrine;;INSCRITE;maltodextrine;
Chlozolinate;72391-46-9;NON_INSCRITE;chlozolinate;
Delta-endotoxin of Bacillus thuringiensis;;NON_INSCRITE;delta-endotoxine de Bacillus thuringiensis;
Fenfuram;24691-80-3;NON_INSCRITE;fenfurame;
Fatty acids: potassium salt - caprylic acid         ;;NON_INSCRITE;acides gras /acide caprylique (sels de potassium);
Fenridazon;;NON_INSCRITE;fenridazon;
Fenthion;55-38-9;NON_INSCRITE;fenthion;
Fentin acetate;900-95-8;NON_INSCRITE;fentine acétate;
Fentin hydroxide;76-87-9;NON_INSCRITE;fentine hydroxide;
Fenobucarbe;;NON_INSCRITE;fénobucarbe;
Flucythrinate;70124-77-5;NON_INSCRITE;flucythrinate;
Flumequine;;NON_INSCRITE;fluméquine;
Flufenzin;;NON_INSCRITE;flufenzin;
Fomesafen;72178-02-0;NON_INSCRITE;fomésafène;
Fonofos;944-22-9;NON_INSCRITE;fonofos;
Fosthietan;;NON_INSCRITE;fosthiétan;
Fructose;;INSCRITE;Fructose;
Fuberidazole;;NON_INSCRITE;Fuberidazole;
Furalaxyl;57646-30-7;NON_INSCRITE;furalaxyl;
Garlic pulp;;NON_INSCRITE;pulpe d'ail;
Gelatine;;NON_INSCRITE;gélatine;
Naptalam;132-66-1;NON_INSCRITE;naptalame;
Neodiprion sertifer nuclear polyhedrosis virus;;NON_INSCRITE;virus de la polyhédrose nucléaire de Neodiprion sertifier;
Methoprothryne;841-06-5;NON_INSCRITE;méthoprothryne;
Nicotine;54-11-5;NON_INSCRITE;nicotine;
Nitralin;4726-14-1;NON_INSCRITE;nitralin;
Novaluron;;NON_INSCRITE;novaluron;
Ofurace;58810-48-3;NON_INSCRITE;ofurace;
Olein;;NON_INSCRITE;oléine;
Omethoate;1113-02-6;NON_INSCRITE;ométhoate;
Triazamate;112143-82-5;NON_INSCRITE;triazamate;
Triazbutyl;;NON_INSCRITE;triazbutyl;
Triazophos;;NON_INSCRITE;triazophos;
Tall oil crude;;NON_INSCRITE;poix d'huile de tall;
Trifluralin;1582-09-8;NON_INSCRITE;trifluraline;
Vernolate;1929-77-7;NON_INSCRITE;vernolate;
Cyproconazole;94361-06-5;NON_INSCRITE;cyproconazole;
Oxathiapiprolin;1003318-67-9;INSCRITE;oxathiapiproline;
Cydia pomonella Granulovirus (CpGV);;INSCRITE;Cydia pomonella Granulovirus (V15) | Cydia pomonella Granulovirus (CpGV-V22) | Cydia pomonella granulosis virus | Cydia pomonella Granulovirus (CpGV-V03) | Cydia pomonella Granulovirus (GV-V01) | Cydia pomonella Granulovirus (CpGV-R5) | Cydia pomonella Granulovirus (CpGV-M) | Cydia pomonella Granulovirus (GV-V14) | Cydia pomonella Granulovirus (GV-V45);
1,3-Dichloropropene;542-75-6;NON_INSCRITE;1,3-Dichloropropène | 1,3-Dichloropropène (cis);
Sulfate de magnésium heptahydraté (CAS n° 10034-99-8);;AUTRE_CAS;sulfate de magnésium heptahydraté (CAS n° 10034-99-8);
Di-1-p menthene;;NON_INSCRITE;di-1-p menthene;
Dienochlor;2227-17-0;NON_INSCRITE;diénochlore;
Nabam;145-59-6;NON_INSCRITE;nabam;
Naled;300-76-5;NON_INSCRITE;naled;
Naphtalene;;NON_INSCRITE;naphtalène;
Neburon;555-37-3;NON_INSCRITE;néburon;
Nitenpyram;;NON_INSCRITE;nitenpyrame;
Onion extract;;NON_INSCRITE;extrait d'onion;
Mild pepino mosaic virus isolate VC1;;INSCRITE;virus de la mosaïque du pépino, isolat VC1 peu virulent;
Mild pepino mosaic virus isolate VX1;;INSCRITE;virus de la mosaïque du pépino, isolat VX1 peu virulent;
COS-OGA;;INSCRITE;COS-OGA;
Coniothyrium minitans strain CON/M/91-08;;INSCRITE;Coniothyrium minitans Souche CON/M/91-08;
Flutianil;958647-10-4;INSCRITE;flutianil;
Indoxacarb;173584-44-6;NON_INSCRITE;indoxacarbe | indoxacarbe (isomère S, inactif) | indoxacarbe (isomère R, actif);
Isaria fumosorosea Apopka strain 97;;INSCRITE;Paecilomyces fumosoroseus Apopka strain 97 | Isaria fumosorosea Apopka strain 97 | Paecilomyces fumosoroseus souche Apopka 97, PFR 97 | Isaria fumosorosea Apopka souche 97;
Sodium chloride;;INSCRITE;chlorure de sodium;
Jasmonic acid;;NON_INSCRITE;acide jasmonique;
Lactic acid;;NON_INSCRITE;acide lactique;
Lactofen;;NON_INSCRITE;lactofène;
Lanolin;;NON_INSCRITE;lanoline;
Lauryldimethylbenzylammonium bromide;;NON_INSCRITE;bromure de lauryldimethylbenzylammonium;
Mefluidide;53780-34-0;NON_INSCRITE;méfluidide sel de diéthanolamine | méfluidide;
Mepronil;55814-41-0;NON_INSCRITE;mépronil;
2-Hydroxyethyl butyl sulfide;;NON_INSCRITE;2-Hydroxyéthyl butyl sulfure;
2-Mercaptobenzothiazole;;NON_INSCRITE;2-Mercaptobenzothiazole;
2-Methoxy-5-nitrofenol sodium salt;;NON_INSCRITE;2-Méthoxy-5-nitrofenol (sels de sodium);
2-Methoxypropan-1-ol;;NON_INSCRITE;2-Méthoxypropan-1-ol;
2-Naphthyloxyacetamide;;NON_INSCRITE;2-Naphthyloxyacétamide;
Barium nitrate;;NON_INSCRITE;nitrate de barium;
Bensultap;17606-31-4;NON_INSCRITE;bensultap;
Captafol;;NON_INSCRITE;captafol;
Camphéchlore;;NON_INSCRITE;camphéchlore;
Carbofuran;1563-66-2;NON_INSCRITE;carbofuran;
Carbon disulphide;;NON_INSCRITE;disulphure de carbone;
Carbonate de sodium;;NON_INSCRITE;carbonate de sodium;
Chinin hydrochlorid;;NON_INSCRITE;quinine hydrochlorure;
Chloralose;15879-93-3;NON_INSCRITE;chloralose;
Chinomethionat;2439-01-2;NON_INSCRITE;chinométhionate;
Denathonium benzoate;3734-33-6;NON_INSCRITE;benzoate de dénatonium;
Ethion;;NON_INSCRITE;éthion;
Fatty acids / Isobutyric acid;;NON_INSCRITE;acides gras / acide isobutyrique;
Nonylphenol ether polyoxyethyleneglycol;;NON_INSCRITE;nonylphénol ether polyoxyéthylèneglycol;
Norflurazon;27314-13-2;NON_INSCRITE;norflurazone;
Noruron;;NON_INSCRITE;noruron;
Orbencarb;;NON_INSCRITE;orbencarb;
Silafluofen;;NON_INSCRITE;silafluofène;
Silver nitrate;;NON_INSCRITE;nitrate d'argent;
Sodium arsenite;7784-46-5;NON_INSCRITE;arsenite de sodium | arsenic du dimethylarsinate de sodium | arsenic de l'arsenite de sodium;
Sodium dimethylarsinate;;NON_INSCRITE;diméthylarsinate de sodium;
Sodium dimethyldithiocarbamate;;NON_INSCRITE;diméthyldithiocarbamate de sodium;
Sodium dioctyl sulfosuccinate;;NON_INSCRITE;dioctyl sulfosuccinate de sodium;
Sodium hypochlorite;7681-52-9;NON_INSCRITE;hypochlorite sous forme de sel de sodium;
Sodium pentaborate;;NON_INSCRITE;pentaborate de sodium;
Sodium p-t-amylphenate;;NON_INSCRITE;p-t-amylphénate de sodium;
Sodium tetraborate;;NON_INSCRITE;tétraborate de sodium;
Lauryl sulfate de sodium;;NON_INSCRITE;lauryl sulfate de sodium;
Methacrifos;;NON_INSCRITE;méthacrifos;
Methfuroxam;;NON_INSCRITE;méthfuroxame;
Methylnaphthylacetic acid;;NON_INSCRITE;acide méthylnaphthylacetique;
Methyl nonyl ketone;;NON_INSCRITE;méthyl nonyl cétone;
Methyl p-hydroxybenzoate;;NON_INSCRITE;p-hydroxybenzoate de méthyl;
Methyl-trans-6-nonenoate;;NON_INSCRITE;méthyl-trans-6-nonenoate;
Pendimethalin;40487-42-1;INSCRITE;pendiméthaline;
Pethoxamid;106700-29-2;INSCRITE;péthoxamide;
Acides gras, C12-C16 et C-18 insaturés, éthoxylés (méthylés) (CAS n° 1374860-17-9);;AUTRE_CAS;acides gras, C12-C16 et C-18 insaturés, éthoxylés (méthylés) (CAS n° 1374860-17-9);
Monolaurate de sorbitane éthoxylé (20OE) (CAS n° 9005-64-5);9005-64-5;AUTRE_CAS;monolaurate de sorbitane éthoxylé (20OE) (CAS n° 9005-64-5);
2-Methoxypropan-2-ol;;NON_INSCRITE;2-Méthoxypropan-2-ol;
2-Propanol;;NON_INSCRITE;2-Propanol;
Benzalkonium chloride;;NON_INSCRITE;chlorure de benzalkonium;
Bioallethrin;;NON_INSCRITE;bioalléthrine;
Bone Oil;;NON_INSCRITE;huile d'os;
Calcium oxide;;NON_INSCRITE;oxyde de calcium;
Carbaryl;63-25-2;NON_INSCRITE;carbaryl;
Carbendazim;10605-21-7;NON_INSCRITE;carbendazime;
Casein;;NON_INSCRITE;caséine;
Cetrimide;;NON_INSCRITE;cétrimide;
Carpropamid;;NON_INSCRITE;carpropamide;
Chlomethoxyfen;32861-85-1;NON_INSCRITE;chlométhoxyfène;
Chloral-semi-acetal;;NON_INSCRITE;chloral-semi-acétal;
Chloramben;;NON_INSCRITE;chlorambène;
Chitosan;;INSCRITE;chitosane;
Chlordecone;;NON_INSCRITE;chlordécone;
Chlorfenapyr;;NON_INSCRITE;chlorfénapyr;
Chlorfenprop;;NON_INSCRITE;chlorfenprop;
Chloretazate;81052-29-1;NON_INSCRITE;chlorétazate;
Chlorimuron;;NON_INSCRITE;chlorimuron;
Chlormephos;24934-91-6;NON_INSCRITE;chlorméphos;
Iodofenphos;18181-70-9;NON_INSCRITE;iodofenphos;
MSMA (methyl arsonic acid);;NON_INSCRITE;MSMA (acide méthyl-arsenique);
Mustard powder;;NON_INSCRITE;moutarde en poudre;
Naphtylacetic acid hydrazide;;NON_INSCRITE;hydrazide acdide naphtylacétique;
Nitrogen;;NON_INSCRITE;nitrogène;
Methylisothiocyanate;;NON_INSCRITE;methylisothiocyanate;
Nitrothal;10552-74-6;NON_INSCRITE;nitrothal;
Nonylphenol ethoxylate;;NON_INSCRITE;nonylphénol éthoxylé;
Nuarimol;63284-71-9;NON_INSCRITE;nuarimol;
Octhilinone;;NON_INSCRITE;octhilinone;
Octyldecyldimethyl ammonium chloride;;NON_INSCRITE;chlorure de octyldécyldiméthylammonium;
Quassia;;NON_INSCRITE;quassia;
Quizalofop;76578-14-8 | 100646-51-3;NON_INSCRITE;quizalofop;
Resmethrin;;NON_INSCRITE;resméthrine;
Sodium tetrathiocarbamate;;NON_INSCRITE;tétrathiocarbamate de sodium;
Sodium tetrathiocarbonate;;NON_INSCRITE;tétrathiocarbonatede sodium;
Quarternary ammonium compounds;;NON_INSCRITE;composé ammonium quaternaire;
Sulfotep;3689-24-5;NON_INSCRITE;sulfotep;
Resines;;NON_INSCRITE;résines;
1-Tetradecanol;;INSCRITE;1-Tetradécanol;
Extract from Plant. Red oak, Prickly pear cactus,;;NON_INSCRITE;extrait de plante (chêne rouge, oponce, sumac parfumé);
Paraffin oil/(CAS 64742-55-8);64742-55-8;NON_INSCRITE;huile de paraffine;
Bacillus subtilis strain IAB/BS03;;INSCRITE;Bacillus subtilis souche IAB/BS03;
Diethofencarb;;NON_INSCRITE;diéthofencarb;
Acrinathrin;101007-06-1;NON_INSCRITE;acrinathrine;
Ampelomyces quisqualis strain AQ10;;INSCRITE;Ampelomyces quisqualis strain AQ10 | Ampelomyces quisqualis Souche: AQ 10 Collection de cultures No CNCM I-807 | Ampelomyces quisqualis souche AQ10;
Tolclofos-methyl;57018-04-9;INSCRITE;Tolclofos-methyl;
trichoderma asperellum strain T34;;INSCRITE;trichoderma asperellum souche T34;
1,2-Dichloropropane;;NON_INSCRITE;1,2-Dichloropropane;
Isoxadifen-ethyl;;AUTRE_CAS;isoxadifène-éthyl;
Docusate de sodium (CAS n° 577-11-7) ;;AUTRE_CAS;docusate de sodium (CAS n° 577-11-7) ;
3(3-Benzyloxycarbonyl-methyl)-2-benzothiazolinone;;NON_INSCRITE;3(3-Benzyloxycarbonyl-méthyl)-2-benzothiazolinone (Benzolinone);
Bacillus amyloliquefaciens AH2;;INSCRITE;Bacillus amyloliquefaciens AH2;
Chloral-bis-acylal;;NON_INSCRITE;chloral-bis-acylal;
Chlorbromuron;;NON_INSCRITE;chlorobromuron;
Chlorbufam;1967-16-4;NON_INSCRITE;chlorbufame;
Chlordane;;NON_INSCRITE;chlordane;
Chloropropylate;;NON_INSCRITE;chloropropylate;
Dichlorvos;62-73-7;NON_INSCRITE;dichlorvos;
Diclobutrazol;75736-33-3;NON_INSCRITE;diclobutrazol;
Dicloran;;NON_INSCRITE;dicloran;
Dicrotophos;;NON_INSCRITE;dicrotophos;
Dimethirimol;;NON_INSCRITE;diméthyrimol;
Dimexano;1468-37-7;NON_INSCRITE;diméxano;
Dinitramine;;NON_INSCRITE;dinitramine;
Dithiopyr;;NON_INSCRITE;dithiopyr;
Fenoprop;93-72-1;NON_INSCRITE;quizalofop éthyl | fénoprop sels d'amine | fénoprop | fénoprop sel de potassium;
Fenvalerate;51630-58-1;NON_INSCRITE;fenvalérate;
Ferbam;14484-64-1;NON_INSCRITE;ferbame;
Flamprop;52756-25-9 | 57 973-67-8;NON_INSCRITE;flamprop-isopropyl | flamprop-M-isopropyl | flamprop | flamprop-M;
Flamprop-M;;NON_INSCRITE;flamprop-M;
Flupoxam;119126-15-7;NON_INSCRITE;flupoxame;
Fluridone;59756-60-4;NON_INSCRITE;fluridone;
Mephospholan;;NON_INSCRITE;méphospholan;
Metsulfovax;21452-18-6;NON_INSCRITE;metsulfovax;
Oxadiazon;19666-30-9;NON_INSCRITE;oxadiazon;
Oxine-copper;;NON_INSCRITE;oxine-cuivre;
p-Cresyl acetate;;NON_INSCRITE;acétate de p-Crésyl;
Pebulate;;NON_INSCRITE;pébulate;
Pentachlorophenol;;NON_INSCRITE;pentachlorophénol;
Simazine;122-34-9;NON_INSCRITE;simazine;
Sodium o-benzyl-p-chlorphenoxide;;NON_INSCRITE;o-benzyl-p-chlorphenoxide de sodium;
Sodium-p-toluene-sulfonchloramid;;NON_INSCRITE;p-toluène-sulfonchloramide de sodium;
Sulprofos;;NON_INSCRITE;sulprofos;
Tebuthiuron;34014-18-1;NON_INSCRITE;tébuthiuron;
Terbacil;5902-51-2;NON_INSCRITE;terbacil;
Tetrachlorvinphos;22248-79-9;NON_INSCRITE;tétrachlorvinphos;
Thiometon;640-15-3;NON_INSCRITE;thiométon;
Thionazin;;NON_INSCRITE;thionazine;
Tolfenpyrad;;NON_INSCRITE;tolfenpyrade;
Tolylfluanid;731-27-1;NON_INSCRITE;tolylfluanide;
Tralomethrin;66841-25-6;NON_INSCRITE;tralométhrine;
Triadimefon;43121-43-3;NON_INSCRITE;triadiméfone;
Triapenthenol;76608-49-6;NON_INSCRITE;triapenthénol;
Tricalcium phosphate;;NON_INSCRITE;phosphate tricalcique;
Trichlorfon;52-68-6;NON_INSCRITE;trichlorfon;
Tricyclazole;;NON_INSCRITE;tricyclazole;
Tridiphane;;NON_INSCRITE;tridifane;
Trietazine;;NON_INSCRITE;triétazine;
Trimedlure;;NON_INSCRITE;trimedlure;
Tallowamine poly-(éthoxylée/propoxylée) (CAS n° 68213-26-3);68213-26-3;AUTRE_CAS;tallowamine poly-(éthoxylée/propoxylée) (CAS n° 68213-26-3);
C12-C14 alkylsulfate de sodium (CAS n° 85586-07-8);;AUTRE_CAS;C12-C14 alkylsulfate de sodium (CAS n° 85586-07-8);
Acides gras, C14-C18 et C16-C18 insaturés (CAS n° 67701-06-8);;AUTRE_CAS;acides gras, C14-C18 et C16-C18 insaturés (CAS n° 67701-06-8);
Iron pyrophosphate;;NON_INSCRITE;pyrophosphate de fer;
Isoprothiolane;;NON_INSCRITE;isoprothiolane;
Propoxur;;NON_INSCRITE;propoxur;
Acephate;30560-19-1;NON_INSCRITE;acéphate;
Acetochlor;34256-82-1;NON_INSCRITE;acétochlore;
Acifluorfen;62476-59-9;NON_INSCRITE;acifluorfène;
Ametryn;834-12-8;NON_INSCRITE;amétryne;
Amino acids: gamma aminobutyric acid;;NON_INSCRITE;acides aminés : acide gamma aminobutyrique;
Ammonium carbonate;;NON_INSCRITE;carbonate d'ammonium;
Ammonium sulphamate;;NON_INSCRITE;sulphamate d'ammonium;
Ampropylofos;16606-64-7;NON_INSCRITE;ampropylfos sel de potassium | ampropylofos;
Anthracene oil;;NON_INSCRITE;huile d'anthracène;
Anilophos;;NON_INSCRITE;anilophos;
Atrazine;1912-24-9;NON_INSCRITE;atrazine;
Azamethiphos;35575-96-3;NON_INSCRITE;azaméthiphos;
Binapacryl;;NON_INSCRITE;binapacryl;
Boric acid;;NON_INSCRITE;acide borique;
Brodifacoum;56073-10-0;NON_INSCRITE;brodifacoum;
Bromethalin;63333-35-7;NON_INSCRITE;brométhaline;
Bromocyclen;;NON_INSCRITE;bromocyclène;
Brofenprox;;NON_INSCRITE;brofenprox;
Bromofenoxim;13181-17-4;NON_INSCRITE;bromophénoxime;
Bromopropylate;18181-80-1;NON_INSCRITE;bromopropylate;
Bromoxynil;1689-99-2 (bromoxynil octanoate) | 1689-84-5 | 56634-95-8 (bromoxynil heptanoate);NON_INSCRITE;bromoxynil phenol | bromoxynil sel d'amine | bromoxynil sel de potassium | bromoxynil heptanoate | bromoxynil butyrate | bromoxil (octanoate, heptanoate) | bromoxynil octanoate | bromoxynil;
Calciferol;50-14-6;NON_INSCRITE;calciférol;
Calcium chloride;;NON_INSCRITE;chlorure de calcium;
Chlorflurenol;2536-31-4;NON_INSCRITE;chlorflurénol;
Chloridazon;1698-60-8;NON_INSCRITE;chloridazone;
Chloroxuron;1982-47-4;NON_INSCRITE;chloroxuron;
Ethanedial;;NON_INSCRITE;éthanedial;
Fatty acids: potassium salt - tall oil fatty acid;;NON_INSCRITE;acides gras / acides gras d'huile de tall (sels de potassium);
Fatty alcohols / Aliphatic alcohols;;NON_INSCRITE;alcools gras / Aliphatic alcohols;
Milk albumin;;NON_INSCRITE;albumine de lait;
Merphos;;NON_INSCRITE;merphos;
Oxadiargyl;39807-15-3;NON_INSCRITE;oxadiargyl;
Oxadixyl;77732-09-3;NON_INSCRITE;oxadixyl;
Nerolidol;;NON_INSCRITE;nerolidol;
Parathion-methyl;298-00-0;NON_INSCRITE;parathion-méthyl;
Phenols;;NON_INSCRITE;phénols;
Pherodim;;NON_INSCRITE;pherodim;
Picoxystrobin;117428-22-5;NON_INSCRITE;picoxystrobine;
Lécithine de soja (CAS n° 8002-43-5);8002-43-5;AUTRE_CAS;lécithine de soja (CAS n° 8002-43-5);
Pyridafol;;NON_INSCRITE;pyridafol;
Repellents: Fatty acids, fish oil;;NON_INSCRITE;répulsif : acides gras, huiles essentielles;
Rock powder;;NON_INSCRITE;poudre de roche;
Salix spp. cortex;;INSCRITE;Salix spp. cortex;
Scilliroside;507-60-8;NON_INSCRITE;scilliroside;
Esters de phosphate d'alcools gras éthoxylés (CAS n°  68649-29-6);;AUTRE_CAS;esters de phosphate d'alcools gras éthoxylés (CAS n° 68649-29-6);
Huile de sésame (CAS n° 8008-74-0);;AUTRE_CAS;huile de sésame (CAS n° 8008-74-0);
Iprodione;36734-19-7;NON_INSCRITE;Iprodione;
Isoval;;NON_INSCRITE;isoval;
Isoxathion;;NON_INSCRITE;isoxathion;
Indolylacetic acid;;NON_INSCRITE;acide indolylacétique;
Methabenzthiazuron;18691-97-9;NON_INSCRITE;méthabenzthiazuron;
Methamidophos;10265-92-6;NON_INSCRITE;méthamidophos;
Methazole;;NON_INSCRITE;méthazole;
Methyl bromide;74-83-9;NON_INSCRITE;bromure de méthyl;
Metoxuron;19937-59-8;NON_INSCRITE;métoxuron;
Alkyldimethylbenzyl ammonium chloride;;NON_INSCRITE;chlorure d'alkyldimethylbenzyl ammonium;
Aldrine;;NON_INSCRITE;aldrine;
Amitrole;61-82-5;NON_INSCRITE;Amitrole;
Ancymidol;12771-68-5;NON_INSCRITE;ancymidole;
Aschersonia aleyrodis;;NON_INSCRITE;Aschersonia aleyrodis;
Asphalts;;NON_INSCRITE;asphalte;
Azafenidin;;NON_INSCRITE;azafénidine;
Aziprotryne;;NON_INSCRITE;aziprotryne;
Azocyclotin;;NON_INSCRITE;azocyclotine;
Bromophos-ethyl;4824-78-6;NON_INSCRITE;bromophos-éthyl;
Chlorphonium chloride;;NON_INSCRITE;chlorure de chlorfonium;
Chlorpyrifos-methyl;5598-13-0;NON_INSCRITE;chlorpyriphos-méthyl;
Dimefuron;34205-21-5;NON_INSCRITE;diméfuron;
Diethatyl (-ethyl);;NON_INSCRITE;diéthatyl-ethyl;
Dimethenamid;;NON_INSCRITE;diméthénamide;
Dinobuton;;NON_INSCRITE;dinobuton;
Diphenamid;;NON_INSCRITE;difénamide;
EDTA and its salts;;NON_INSCRITE;EDTA (et ses sels);
Endosulfan;115-29-7;NON_INSCRITE;endosulfan;
Fenamidone;161326-34-7;NON_INSCRITE;fénamidone;
Fenarimol;60168-88-9;NON_INSCRITE;fénarimol;
Fenchlorphos;;NON_INSCRITE;fenchlorphos;
Etasulfate de sodium (CAS n° 126-92-1);126-92-1;AUTRE_CAS;etasulfate de sodium (CAS n° 126-92-1);
Fenclorim;40020-05-1;AUTRE_CAS;fenclorime;
Extract from Equisetum;;INSCRITE;extrait de prêle (equisetum);
Fenthiosulf;;NON_INSCRITE;fenthiosulf;
Fluacrypyrim;;NON_INSCRITE;fluacrypyrime;
Fenson;;NON_INSCRITE;fenson;
Flucycloxuron;;NON_INSCRITE;flucycloxuron;
Fluazolate;;NON_INSCRITE;fluazolate;
Oxydemeton-methyl;301-12-2;NON_INSCRITE;oxydéméton-méthyl;
Oxytetracycline;;NON_INSCRITE;oxytétracycline;
Papaine;;NON_INSCRITE;papaïne;
p-Dichlorobenzene;;NON_INSCRITE;p-Dichlorobenzène;
Pentanochlor;;NON_INSCRITE;pentanochlore;
Peracetic acid;;NON_INSCRITE;acide peracétique;
Permethrin;;NON_INSCRITE;perméthrine;
Petroleum oils;;NON_INSCRITE;huile de pétrole/(CAS 74 869-22-0)) | huile de pétrole/(CAS 92062-35-6) | huile de pétrole/(CAS 64742-55-8/64742-57-7) | huile de pétrole;
Phorate;298-02-2;NON_INSCRITE;phorate;
Phosphamidon;13171-21-6;NON_INSCRITE;phosphamidon;
Phosphoric acid;;NON_INSCRITE;acide phosphorique;
Phoxim;14816-18-3;NON_INSCRITE;phoxime;
p-Hydroxybenzoic acid;;NON_INSCRITE;acide p-Hydroxybenzoïque;
Pirimiphos-ethyl;;NON_INSCRITE;pyrimiphos-éthyl;
Plant oils / Citronellol;;NON_INSCRITE;huile de plantes / Citronellol;
Plant oils / Coconut oil;;NON_INSCRITE;huile de plantes / huile de noix de coco;
Plant oils / Daphne oil;;NON_INSCRITE;huile de plantes / huile de daphnés;
Plant oils / Garlic oil;;NON_INSCRITE;huile de plantes / huile d'ail;
Propineb;12071-83-9 (monomer), 9016-72-2 (homopolymer);NON_INSCRITE;propinèbe;
Terbumeton;33693-04-8;NON_INSCRITE;terbumeton;
Terbutryn;886-50-0;NON_INSCRITE;terbutryne;
Tetramethrin;;NON_INSCRITE;tétraméthrine;
Triforine;26644-46-2;NON_INSCRITE;triforine;
Uniconazole;;NON_INSCRITE;uniconazole;
Urtica spp.;'84012-40-8 (extrait d'Urtica dioica) No CAS 90131-83-2 (extrait d'Urtica urens)';INSCRITE;Urtica spp.;
Validamycin;;NON_INSCRITE;validamycin;
Vamidothion;2275-23-2;NON_INSCRITE;vamidothion;
Vinclozolin;50471-44-8;NON_INSCRITE;vinclozoline;
Zineb;12122-67-7;NON_INSCRITE;zinèbe;
Trichloronate;327-98-0;NON_INSCRITE;trichloronate;
Repellents by smell/ tall oil crude;;NON_INSCRITE;répulsif olfactif d'origine animal ou végétal/huile de tall brute;
Zucchini yellow mosaic virus;;NON_INSCRITE;Zucchini yellow mosaic virus (ZYMV mild strain) | Zucchini yellow mosaic virus | Zucchini Yellow Mosaik Virus, weak strain;
Isocarbophos;;NON_INSCRITE;isocarbophos;
Lecithins;8002-43-5;INSCRITE;lécithine;
lepimectin;;NON_INSCRITE;lépimectine;
Lime phosphate;;NON_INSCRITE;phosphate de chaux;
Mancopper;53988-93-5;NON_INSCRITE;mancopper;
Mancozeb;8018-01-7 (formerly 8065-67-5);NON_INSCRITE;mancozèbe;
Beauveria bassiana strain NPP111B005;;INSCRITE;Beauveria bassiana souche NPP111B005;
(E)-5-Decenol;56578-18-8;INSCRITE;(E)-5-Décenol;
Etridiazole;2593-15-9;NON_INSCRITE;étridiazole;
Mefenacet;;NON_INSCRITE;méfénacet;
Saccharomyces cerevisiae LAS02;;INSCRITE;Saccharomyces cerevisiae souche LAS02;
Carboxin;5234-68-4;NON_INSCRITE;carboxine;
Fenpicoxamid;;INSCRITE;fenpicoxamide;
Profoxydim;139001-49-3;NON_INSCRITE;profoxydime;
Acridinic bases;;NON_INSCRITE;acridinate;
Carbon monoxide;;NON_INSCRITE;monoxyde de carbone;
Cartap;;NON_INSCRITE;cartap;
Carvone;;INSCRITE;carvone | carvone Melange d/l;
