DATAFLOW,FREQ: Frequency,REF_AREA: Territory,DATA_TYPE: Indicator,TYPE_OF_CROP: Type of crop,PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,LEVEL_OF_TOXICITY: Level of toxicity,TIME_PERIOD: Time,OBS_VALUE,OBS_STATUS: Observation status,NOTE_DS: Dataset note,NOTE_REF_AREA: Territory,NOTE_DATA_TYPE: Indicator,NOTE_TYPE_OF_CROP: Type of crop,NOTE_PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NOTE_NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,NOTE_LEVEL_OF_TOXICITY: Level of toxicity,NOTE_TIME_PERIOD: Time,BASE_PER: Base year,UNIT_MEAS: Measure unit,UNIT_MULT: Multiplication unit
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2016,162,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2017,566,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2018,285,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2019,164,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2020,229,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2021,464,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2022,157,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2023,313,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NB: nitrate berzonitrile,TOT: total,ALL: all items,2024,547,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2015,8,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2016,8,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2017,3,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2018,4,,,,,,,,,,,,
