DOCUMENT_ID,PRODUCT_ID,PRODUCT,DOCUMENT_TYPE,TYPE_EVIDENCE,URL,SOURCE_PAGE,FILENAME,VISIBLE_DOCUMENT_DATE,HTTP_STATUS,DOWNLOAD_STATE,MEDIA_TYPE,BYTES,SHA256,STORAGE_KEY,CAPTURED_AT,PROVA_DE_QUE_E_DOCUMENTO
DOC-ES-85f408c29cea,ADAMA-ES-2ccd431ff4fc,SONAVIO,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/3886/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sonavio,SONAVIO.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,108973,8cc993ac23edf01270603308b2e48846cd5ce3493da12c01e7fc722a8473b001,raw/ES/adama-website/ADAMA-ES-2ccd431ff4fc/8cc993ac23edf012-SONAVIO.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-6de6778e1785,ADAMA-ES-2ccd431ff4fc,SONAVIO,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/3891/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sonavio,L12535_02_SONAVIO (5)_SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,710975,b0942b24d9333a7f2ee4ecdc82afbb896cd959f72cd5a0c066838e44c0f0523b,raw/ES/adama-website/ADAMA-ES-2ccd431ff4fc/b0942b24d9333a7f-L12535_02_SONAVIO (5)_SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-fb2945d332d0,ADAMA-ES-2ccd431ff4fc,SONAVIO,BROCHURE,"TEXTO_DO_LINK casou ""Díptico""",https://www.adama.com/spain/es/media/4951/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sonavio,SONAVIO Folleto General Díptico_HR.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,4901796,cfbf73b5a0ae30146b6ad5a34d3f1d863affeb1275624793f83f81cef89bcbd0,raw/ES/adama-website/ADAMA-ES-2ccd431ff4fc/cfbf73b5a0ae3014-SONAVIO Folleto General Díptico_HR.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-13cc6d7d9a07,ADAMA-ES-2ccd431ff4fc,SONAVIO,OTHER_TECHNICAL_DOCUMENT,nenhum padrao de tipo casou — nao classificado por chute,https://www.adama.com/spain/es/media/4331/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sonavio,Díptico SONAVIO AJO 3 BR.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,754476,4be6556fb0ce377b6d836ce584142143cdabc8b3b225c2d804552b20daee68d2,raw/ES/adama-website/ADAMA-ES-2ccd431ff4fc/4be6556fb0ce377b-Díptico SONAVIO AJO 3 BR.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-d57ad7fbb7d6,ADAMA-ES-c0065da72d0e,SPYRALE,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/2551/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/spyrale,SPYRALE (1) (SPECIMEN).pdf,NÃO SEI,200,DOWNLOADED,application/pdf,615702,13bfe99b6cc6f2b538a4320f36608dbf3ae04e2b3e494e965be6a7a65c2f1e88,raw/ES/adama-website/ADAMA-ES-c0065da72d0e/13bfe99b6cc6f2b5-SPYRALE (1) (SPECIMEN).pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-bc58034f6c52,ADAMA-ES-c0065da72d0e,SPYRALE,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2191/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/spyrale,SPYRALE.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,136766,5334128fb6ebfb6a7dc5cd06cc8cc7b4cbbc0a618fe09eda8e45bff2445b5b2b,raw/ES/adama-website/ADAMA-ES-c0065da72d0e/5334128fb6ebfb6a-SPYRALE.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-d3cb7326e14f,ADAMA-ES-c0065da72d0e,SPYRALE,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/516/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/spyrale,Folleto web Spyrale.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,289487,479e2250e7c2dea451731b946cc6d62d5e2c6854babec82af1b7f0b89bef9180,raw/ES/adama-website/ADAMA-ES-c0065da72d0e/479e2250e7c2dea4-Folleto web Spyrale.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-e096efe664d7,ADAMA-ES-6e2dfe6ef7f9,SULCOTREK,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1841/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sulcotrek,SULCOTREK (5)_03 COMPLETA_ SPECIMEN.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,744575,c46618696a09a1dd0de93b8aa9ceff960a4edbf6d003a1dc27bba9b074e2d04f,raw/ES/adama-website/ADAMA-ES-6e2dfe6ef7f9/c46618696a09a1dd-SULCOTREK (5)_03 COMPLETA_ SPECIMEN.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-32cbb6b39141,ADAMA-ES-6e2dfe6ef7f9,SULCOTREK,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2196/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sulcotrek,SULCOTREK.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,130899,972f1e90e8e27b093da059bf8b6b929db82954fb88cc09dd75494e9fc66e6fec,raw/ES/adama-website/ADAMA-ES-6e2dfe6ef7f9/972f1e90e8e27b09-SULCOTREK.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-f9dd02a60f3f,ADAMA-ES-32dd9ccc34a9,SULTAN N,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1691/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sultan,SULTAN (5) (SPECIMEN).pdf,NÃO SEI,200,DOWNLOADED,application/pdf,500652,f77ea9fe5151a57d6f7e5c809997d9ac9b19c4fcae795a55ee7bf46daa104765,raw/ES/adama-website/ADAMA-ES-32dd9ccc34a9/f77ea9fe5151a57d-SULTAN (5) (SPECIMEN).pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
