SOURCE_ID;IRMAOS;NOME;URL;FIRST_ASSIGNMENT;CLASSIFICACAO
ES-T7-010;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-011;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-012;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-013;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-014;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-015;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-016;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-017;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-018;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-019;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-020;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-021;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-022;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-023;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-024 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-024;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-025 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-025;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-026 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-026;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-027;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
ES-T7-027;ES-T7-001 ES-T7-002 ES-T7-003 ES-T7-004 ES-T7-005 ES-T7-006 ES-T7-007 ES-T7-008 ES-T7-009 ES-T7-010 ES-T7-011 ES-T7-012 ES-T7-013 ES-T7-014 ES-T7-015 ES-T7-016 ES-T7-017 ES-T7-018 ES-T7-019 ES-T7-020 ES-T7-021 ES-T7-022 ES-T7-023 ES-T7-024 ES-T7-025 ES-T7-026;feeds de imprensa técnica espanhola, associações agrárias,;UNKNOWN;74bcccb3cd00 2026-08-29;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T10-004;IT-T10-005;ICQRF — Cantina Italia;https://www.politicheagricole.it;bd531977bf22 2026-09-07;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T10-005;IT-T10-004;ICQRF — Frantoio Italia;https://www.politicheagricole.it;bd531977bf22 2026-09-07;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T3-003;IT-T3-010;MAPA-DE-FONTES-ITALIA.md` §3 · **GREEN** — 2026: 6 videira · 4 macieira · 0 herb;NÃO SEI;69db7cc4eb91 2026-09-06;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T3-005;IT-T3-006;MAPA-DE-FONTES-ITALIA.md` §3 · **YELLOW** — *disciplinari* + decretos de deroga;https://www.terretruria.it;69db7cc4eb91 2026-09-06;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T3-006;IT-T3-005;IT-T3-006 · ERSA Friuli-Venezia Giulia — bollettini colture erbacee;https://www.terretruria.it;2bd4ec692a68 2026-08-30;DUPLICATE_IDENTITY_ASSIGNMENT
IT-T3-010;IT-T3-003;APOL Lecce — monitoraggio olivicolo;NÃO SEI;bd531977bf22 2026-09-07;DUPLICATE_IDENTITY_ASSIGNMENT
