"Prodotti fitosanitari e sostanze attive venduti nell'anno 2015 (fonte dati: Autorità competente per il coordinamento territoriale in materia di prodotti fitosanitari, dichiarazioni di vendita p.f. 2015, art. 16 D.Lgs. 150/2012); le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2016.";;;;;;;;;
Provincia ULSS;Azienda ULSS;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;Provincia ULSS;Azienda ULSS;Sostanza attiva venduta;Quantità (Kg)
PD;15;11626;PIT STOP X 1;88;;PD;17;PROPYZAMIDE;463,38
PD;15;11637;CUPROFIX C DISPERSS;110;;PD;17;PROQUINAZID;1,03
PD;15;11638;FLUORATE;164,5;;PD;17;PROSULFURON;2,73
PD;15;11649;COMMAND 36 CS;391,25;;PD;17;PROTHIOCONAZOLE;266,98
PD;15;11649;COMMAND 36CS ML.250;73;;PD;17;PYMETROZINE;1,5
PD;15;11649;COMMAND 36 CS x 1 lt;26;;PD;17;PYRACLOSTROBIN;236,03
PD;15;11649;COMMAD;6;;PD;17;PYRAFLUFEN ETHYL;1,38
PD;15;11654;GRIZZLY EC;12;;PD;17;PYRETHRIN I;13,09
PD;15;11659;HERBITOTAL S;105,5;;PD;17;PYRETHRINS;0,14
PD;15;11660;SHOGUN;568;;PD;17;PYRIDABEN;0,97
PD;15;11678;ACTELLIC 2P NEWPHARM;2.992,00;;PD;17;PYRIDATE;42,57
PD;15;11678;ACTELLIC 2 P (Newpharm);6;;PD;17;PYRIMETHANIL;127,84
PD;15;11680;CICLONE x 5 lt;60;;PD;17;PYRIPROXYFEN;6,67
PD;15;11680;CICLONE x 20 lt;20;;PD;17;PYROXSULAM;36,4
PD;15;11687;ACTELLIC 5 NEWPHARM;51.355,00;;PD;17;QUINOXYFEN;44,41
PD;15;11693;LASER;7,6;;PD;17;QUIZALOFOP-P-ETILE;526,61
PD;15;11693;LASER x 0,500 (SPINOSAD);1,5;;PD;17;RAPE SEED OIL (OLIO DI COLZA);609,85
PD;15;11693;LASER x 0,250 (SPINOSAD);0,25;;PD;17;RIMSULFURON;18,75
PD;15;11694;CONSERVE SC;0,18;;PD;17;SALE SODICO DI ALCHILETERE SOLFATO;171,11
PD;15;11698;MINUET;52;;PD;17;SILICONI;2,26
PD;15;11704;OLIO OGNISTAGIONE;6,25;;PD;17;S-METOLACHLOR;7.006,86
PD;15;11710;GARDIUS;0,38;;PD;17;Sodio lauryl etere solfato;98,5
PD;15;11760;POLITHIOL;160;;PD;17;SODIUM DIOCTYL SULFOSUCCINATE (AUTORIZZATO SOLO COME COADIUVANTE);19,71
PD;15;11793;XENTARI;1;;PD;17;SORBITAN MONO OLEATO ETOSSILATO;46,08
PD;15;11794;PRESSING 500 X 0,75 (AVADEX FACTOR);2;;PD;17;SORBITAN MONOLEATO;365,04
PD;15;11814;SPADA 200 EC;2;;PD;17;SOYA OIL (OLIO DI SOIA);36
PD;15;11821;WEEDAZOL TL;20;;PD;17;SPINOSAD;61,65
PD;15;11870;CUPRITAL S.D.I.;6,25;;PD;17;SPIRODICLOFEN;0,11
PD;15;11872;RIFLE 4-24 R;358;;PD;17;SPIROMESIFEN;1,26
PD;15;11885;ELICIO;25;;PD;17;SPIROTETRAMAT;8,95
PD;15;11908;VENTUREX 35 L;238,6;;PD;17;SPIROXAMINE;988,62
PD;15;11954;TERMINAL DUO;260;;PD;17;SULCOTRIONE;262,41
PD;15;11979;BORDO 20 MICRO;176,8;;PD;17;SULPHUR (ZOLFO);111.311,10
PD;15;12010;TUAREG;1.160,00;;PD;17;TEBUCONAZOLE;1.588,20
PD;15;12010;TUAREG  x 5;95;;PD;17;TEBUFENOZIDE;30,82
PD;15;12010;TUAREG  x 1;81;;PD;17;TEBUFENPYRAD;1,6
PD;15;12010;TUAREG  x 3;6;;PD;17;TEFLUTHRIN;138,49
PD;15;12020;SUCCESS;3;;PD;17;TEMBOTRIONE;192,77
PD;15;12020;SUCCESS  x 1 lt;3;;PD;17;TEPRALOXYDIM;116,71
PD;15;12020;SUCCES 10;0,8;;PD;17;TERBUTHYLAZINE;3.790,92
PD;15;12023;MEGIC LT 1;4;;PD;17;TETRACONAZOLE;52,7
PD;15;12037;CAMIX;170;;PD;17;TETRADECAN-1-OL;0,01
PD;15;12043;PREVICUR ENERGY x 1 lt;21;;PD;17;THIABENDAZOLE;7,29
PD;15;12043;PREVICUR ENERGY;9,45;;PD;17;THIACLOPRID;4,85
PD;15;12048;TIOSOL 80 WG;509,5;;PD;17;THIAMETHOXAM;74,06
PD;15;12048;TIOSOL 80 WG KG 1;10;;PD;17;THIENCARBAZONE-METHYL;170,37
PD;15;12067;CIPER;22,75;;PD;17;THIFENSULFURON-METHYL;119,83
PD;15;12068;TEFLUSTAR;2.710,00;;PD;17;THIOPHANATE-METHYL;1.419,80
PD;15;12069;EPIK;21,4;;PD;17;THIRAM;936,8
PD;15;12083;DANADIM PROGRESS;24,75;;PD;17;TOLCLOFOS-METHYL;95,5
PD;15;12096;POLTIGLIA DISPERSS;734;;PD;17;TRI-ALLATE;346,95
PD;15;12096;POLTIGLIA DISPERSS X 15;30;;PD;17;TRIASULFURON;12,74
PD;15;12100;ASSET   X 1;1;;PD;17;TRIBASIC COPPER SULPHATE (RAME SOLFATO TRIBASICO);1.009,87
PD;15;12114;AUXIGER LG x 1 lt;6;;PD;17;TRIBENURON METHYL;74,66
PD;15;12133;JUVINAL 10 EC;1;;PD;17;TRICHODERMA ASPERELLUM;2
PD;15;12136;VERITAS x 5 kg;30;;PD;17;TRICHODERMA GAMSII;2
PD;15;12138;R6 ERRESEI TREVI;23;;PD;17;TRICLOPYR;101,13
PD;15;12172;FERRAMOL;13;;PD;17;TRIFLOXYSTROBIN;64,21
PD;15;12174;V.I.P. FLOW;23;;PD;17;TRIFLUMURON;12,97
PD;15;12200;SILBOT R;60;;PD;17;TRIFLUSULFURON-METHYL;44,82
PD;15;12212;PENTHIUM EC;335;;PD;17;TRINEXAPAC ETHYL;172,89
PD;15;12215;VEBIPHOS 7,5;191;;PD;17;TRISILOSSANO ETOSSILATO PROPOSSILATO;12,75
PD;15;12225;TEPPEKI;0,1;;PD;17;TRITOSULFURON;15,9
PD;15;12225;TEPPEKI  X 0,100;0,1;;PD;17;VALIPHENAL (IR5885);10,5
PD;15;12243;MANTIR DG;200;;PD;17;ZETA CYPERMETHRIN;95,11
PD;15;12245;ROUNDUP 360 POWER;645;;PD;17;ZIRAM;889,04
PD;15;12285;FORUM GOLD;40;;PD;17;ZOXAMIDE;83,09
PD;15;12297;TRIBASE TWIN;13;;PD;28;2,4-D;0,14
PD;15;12298;GUNNER SC;15;;PD;28;2,4-D (ESTERE ISOTTILICO);0,5
PD;15;12315;ORTIVA HOBBY;2,64;;PD;28;2,4-DB;10,32
PD;15;12323;VEBIZOLFO WG;188;;PD;28;ABAMECTIN;0,57
PD;15;12325;MESUROL M PLUS;59,5;;PD;28;ACLONIFEN;2,48
PD;15;12330;DEDALUS SE;16,4;;PD;28;AZOXYSTROBIN;4,29
PD;15;12330;DEDALUS SE  x 1;1;;PD;28;BENTAZONE;0,43
PD;15;12344;VEBITHRIN 5 EC;78,57;;PD;28;BUPROFEZIN;0,5
PD;15;12344;VEBITHRIN 5 EC ML 250;9,5;;PD;28;CARFENTRAZONE-ETHYL;0,2
PD;15;12344;VEBITHRIN 5 EC ML 100;8,6;;PD;28;CHLORANTRANILIPROLE;0,19
PD;15;12361;ALGEDI;52,8;;PD;28;CHLORPYRIFOS;95,85
PD;15;12374;RAIDER 3B;3;;PD;28;CHLORPYRIFOS-METHYL;23,43
PD;15;12383;RIDOMIL GOLD MZ PEPITE;28;;PD;28;CLODINAFOP PROPARGYL;0,28
PD;15;12383;RIDOMIL GOLD MZ PEPITE x 1 kg;15;;PD;28;COPPER HYDROXIDE (RAME IDROSSIDO);317,81
PD;15;12383;RIDOMIL GOLD MZ PEPITE x 5 kg;10;;PD;28;COPPER OXYCHLORIDE (RAME OSSICLORURO);148,1
PD;15;12393;COPPERCIM WG;24,5;;PD;28;COPPER SULFATE (RAME SOLFATO);92,08
PD;15;12393;COPPERCIM WG KG 1;12;;PD;28;CYAZOFAMID;0,42
PD;15;12393;COPPERCIM WG GR 250;9,5;;PD;28;CYMOXANIL;7,1
PD;15;12437;DELAN 70 WG;53;;PD;28;CYPERMETHRIN;3,63
PD;15;12437;"DELAN 70 WG X 1 ""N. ET.XN""";2;;PD;28;CYPRODINIL;6,75
PD;15;12451;MAISNET;10;;PD;28;CYPROSULFAMIDE;0,55
PD;15;12452;EQUIP;360;;PD;28;DELTAMETHRIN;0,01
PD;15;12452;EQUIP x 5 lt;260;;PD;28;DICAMBA;20,56
PD;15;12452;"EQUIP ""NUOVA ETICH."" x 1 lt";128;;PD;28;DIFENOCONAZOLE;0,24
PD;15;12453;MILDICUT;140;;PD;28;DIMETHOATE;10,65
PD;15;12459;VOLCAN SC;5;;PD;28;DIMETHOMORPH;33,6
PD;15;12482;LUMAX;7.655,00;;PD;28;DODINE;0,35
PD;15;12482;LUMAX x 20 lt;1.120,00;;PD;28;FLORASULAM;0,09
PD;15;12482;LUMAX x 5 lt;275;;PD;28;FLUDIOXONIL;4,5
PD;15;12491;CIPERTHRIN PLUS X 1;36;;PD;28;FLUFENACET;2,09
PD;15;12491;CIPERTHRIN PLUS X 0,250;0,75;;PD;28;FLUROXYPYR;13,16
PD;15;12504;FLOWBRIX;521;;PD;28;FOLPET;7,8
PD;15;12505;FLOWBRIX BLU;3;;PD;28;FOSETYL-ALUMINIUM;48
PD;15;12514;VIPER;120;;PD;28;GLYPHOSATE (GLIFOSATE);94,92
PD;15;12519;CORSARIO;76,4;;PD;28;HEXYTHIAZOX;0,08
PD;15;12534;FOXTAIL;324,2;;PD;28;IMAZAMOX;1,46
PD;15;12534;FOXTAIL ML 250;5,5;;PD;28;IMIDACLOPRID;6,72
PD;15;12566;PYGANIC 1.4;39;;PD;28;INDOXACARB;0,08
PD;15;12566;PYGANIC 1,4;1,2;;PD;28;ISOXAFLUTOLE;0,92
PD;15;12566;PYGANIC 1.4 LT 1;1;;PD;28;LAMBDA-CYHALOTHRIN;6,49
PD;15;12566;PYGANIC  X 1;1;;PD;28;MANCOZEB;643,15
PD;15;12573;EKO OIL SPRAY  X 1;430;;PD;28;MESOTRIONE;4,67
PD;15;12573;EKO OIL SPRAY;174;;PD;28;METALAXYL;36,03
PD;15;12573;EKO OIL SPRAY  X 5;170;;PD;28;METIRAM;137,9
PD;15;12582;LINFA PIRETRO NATURALE;0,9;;PD;28;METRIBUZIN;16,63
PD;15;12622;QUANTUM;66;;PD;28;NICOSULFURON;4,45
PD;15;12622;QUANTUM   X 0,500;16,5;;PD;28;OXYFLUORFEN;7,33
PD;15;12625;EFUZIN 355 SC x 1 lt;234;;PD;28;PENDIMETHALIN;11,28
PD;15;12625;EFUZIN 355 SC;3;;PD;28;PINOXADEN;0,28
PD;15;12629;BUGGY 360 SG N.E.T.;16;;PD;28;PROCHLORAZ;16,32
PD;15;12636;QUASAR 6/24 R;502;;PD;28;QUINOXYFEN;0,28
PD;15;12636;QUASAR 6-24R KG1;5;;PD;28;QUIZALOFOP-P-ETILE;4,55
PD;15;12647;GLITTER;359;;PD;28;RAPE SEED OIL (OLIO DI COLZA);1,9
PD;15;12650;NUPRID 200 SL;1,22;;PD;28;RIMSULFURON;0,35
PD;15;12670;RISOLUTIV SL;316;;PD;28;S-METOLACHLOR;72,49
PD;15;12671;HARMONY 50 SX;19,27;;PD;28;SORBITAN MONOLEATO;1,92
PD;15;12671;HARMONY 50 SX x 16 gr;4,83;;PD;28;SPIROXAMINE;7,44
PD;15;12671;HARMONY 50 SX x 50 gr;1,45;;PD;28;SULPHUR (ZOLFO);2.533,90
PD;15;12686;CHAMAN;58;;PD;28;TEBUCONAZOLE;33,88
PD;15;12696;TEBUZOL S DISPERSS;96;;PD;28;TEFLUTHRIN;9,2
PD;15;12706;PERMIT;1,5;;PD;28;TERBUTHYLAZINE;32,73
PD;15;12722;OSSICLOR 20 FLOW;13,75;;PD;28;THIAMETHOXAM;0,95
PD;15;12723;OSSICLOR 20 BLU FLOW;500;;PD;28;THIFENSULFURON-METHYL;1,11
PD;15;12734;JUPITER R DF;70;;PD;28;THIRAM;0,44
PD;15;12737;AIRONE PIU';36;;PD;28;TRIBENURON METHYL;0,9
PD;15;12756;DICOTEX;57;;PD;28;TRICLOPYR;0,98
PD;15;12759;OSSICLOR 35 WG;3.153,40;;RO;18;(E)-8-DODECEN-1-YL ACETATE;0,18
PD;15;12759;OSSICLOR 35WG;10;;RO;18;(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE);21,9
PD;15;12759;OSSICLOR 35 WG KG 10;10;;RO;18;(E/Z)-8-DODECEN-1-YL ACETATE;0
PD;15;12763;PYGRAIN;1.172,50;;RO;18;(Z)-8-DODECEN-1-OL;0,04
PD;15;12770;ALAR 85 GOLD x 1 kg;9;;RO;18;(Z)-8-DODECEN-1-YL ACETATE;2,56
PD;15;12770;ALAR 85 GOLD;8;;RO;18;1,3-DICHLOROPROPENE;5.335,85
PD;15;12778;PASTA SIAPA F NC LT.10;10;;RO;18;1-DECANOLO;790
PD;15;12779;RAMEDIT COMBI WG x 10 kg;1.200,00;;RO;18;2,4-D;482,06
PD;15;12779;RAMEDIT COMBI WG x 1 kg;1.107,00;;RO;18;2,4-DB;8,17
PD;15;12780;PASTA SIAPA F BLU LT.1;18;;RO;18;6-BENZYLADENINE;48,48
PD;15;12780;PASTA SIAPA F BLU LT.10;10;;RO;18;ABAMECTIN;233,65
PD;15;12806;FEDOR;66;;RO;18;ACEQUINOCYL;1,5
PD;15;12808;GLOBAL SC;0,7;;RO;18;ACETAMIPRID;79,41
PD;15;12813;AMISTAR XTRA;73;;RO;18;ACIBENZOLAR-S-METHYL;14,35
PD;15;12813;AMISTAR XTRA x 1 lt;10;;RO;18;ACLONIFEN;144,83
PD;15;12813;AMISTAR XTRA x 5 lt;5;;RO;18;ACRINATHRIN;3,15
PD;15;12824;MERLIN EXPERT;126;;RO;18;ALCOOL GRASSO ETOSSILATO;103,61
PD;15;12831;INSIGNIA;3,5;;RO;18;ALCOOL ISOTRIDECILICO;2
PD;15;12832;OPERA LT.1 (2°XN);100;;RO;18;ALPHA-CYPERMETHRIN (ALPHAMETHRIN);80,6
PD;15;12832;OPERA;28;;RO;18;AMETOCTRADIN;87,63
PD;15;12847;EAGLE;0,8;;RO;18;AMIDOSULFURON;5,68
PD;15;12849;BENPROP PRO;50;;RO;18;AMINOPYRALID;1,16
PD;15;12859;BORNEO;2,59;;RO;18;AMITROLE;147,52
PD;15;12862;CANTUS;24;;RO;18;AUREOBASIDIUM PULLULANS;0
PD;15;12862;CANTUS    X 1;2;;RO;18;AZADIRACHTIN (AZADIRACTINA A);8,19
PD;15;12863;FLORAMITE 240 SC;0,5;;RO;18;AZOXYSTROBIN;1.228,39
PD;15;12865;DANTOP 50 WG x 0,200;1,2;;RO;18;BACILLUS AMYLOLIQUEFACIENS SUBSP. PLANTARUM D747;40,5
PD;15;12866;COLLIS;13;;RO;18;BACILLUS SUBTILIS (CEPPO QST 713);1
PD;15;12866;COLLIS  X 1;1;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE AIZAWAI CEPPO GC-91;3
PD;15;12868;BELLIS;2;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI 3A-3B CEPPO HD1;1,31
PD;15;12869;SIGNUM;258;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI CEPPO ABTS 351;183,55
PD;15;12869;SIGNUM x 1 kg;29;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI CEPPO EG 2348;65,46
PD;15;12870;FANTIC M BLU;8;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI CEPPO SA 11;0,26
PD;15;12878;RIDOMIL GOLD COMBI PEPITE;232;;RO;18;BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI CEPPO SA 12;0,27
PD;15;12880;ATLANTIS WG;0,5;;RO;18;BEAUVERIA BASSIANA;0,01
PD;15;12881;HUSSAR MAXX;0,6;;RO;18;BENALAXYL;0,44
PD;15;12883;PROSPER 300 CS x 1 lt;25;;RO;18;BENFLURALIN;140,93
PD;15;12883;PROSPER 300 CS;24;;RO;18;BENTAZONE;6.162,38
PD;15;12886;KARATHANE STAR;19;;RO;18;BENTHIAVALICARB;0,2
PD;15;12888;LEPINOX PLUS  X 1;10;;RO;18;BETA NOA;1,13
PD;15;12888;LEPINOX PLUS;9;;RO;18;BETA-CYFLUTHRIN;3,9
PD;15;12889;PICKER SC;1,8;;RO;18;BIFENAZATE;9,92
PD;15;12903;DOLESE WG;314;;RO;18;BIFENOX;204
PD;15;12924;JUPITER WG;71;;RO;18;BISPYRIBAC SODIUM;0,11
PD;15;12940;KARATE ZEON 1.5;294,5;;RO;18;BIXAFEN;221,25
PD;15;12940;KARATE ZEON 1.5 x 1 lt;12;;RO;18;BORDEAUX MIXTURE (RAME POLTIGLIA BORDOLESE);123,32
PD;15;13005;PROMAG;0,2;;RO;18;BOSCALID;883,62
PD;15;13012;FOLVIT 80 WDG x 5 kg;20;;RO;18;BROMADIOLONE;0,01
PD;15;13020;MICRORAM  35 WG;20;;RO;18;BROMOXYNIL OCTANOATE (BROMOXINIL OTTANOATO);28,61
PD;15;13026;SUSCON;10;;RO;18;BROMUCONAZOLE;34,73
PD;15;13039;POTCLEAN 2G;9;;RO;18;BUPIRIMATE;172,37
PD;15;13049;SULCOGAN;532;;RO;18;BUPROFEZIN;48,47
PD;15;13061;BIOBIT DF;2;;RO;18;CALCIUM POLYSULPHIDE (POLISOLFURO DI CALCIO O ZOLFO CALCICO);1.740,00
PD;15;13062;DIPEL DF x 1 kg;1;;RO;18;CAPTANO;19.568,00
PD;15;13064;VITENE ULTRA SC;31;;RO;18;CARFENTRAZONE-ETHYL;45,7
PD;15;13071;SIAFEN x 0,5 lt;2;;RO;18;CHLORANTRANILIPROLE;585,46
PD;15;13084;TELDOR PLUS;26,8;;RO;18;CHLORIDAZON;776,32
PD;15;13093;STOMP AQUA;1.667,00;;RO;18;CHLORMEQUAT (CHLORIDE);4,53
PD;15;13093;STOMP AQUA x 1 lt;511;;RO;18;CHLOROTHALONIL;3.200,04
PD;15;13093;STOMP AQUA x 5 lt;325;;RO;18;CHLORPROPHAM;64,23
PD;15;13098;ROUNDUP POWER 2.0;3.809,00;;RO;18;CHLORPYRIFOS;5.276,31
PD;15;13106;IKANOS LT 1;22;;RO;18;CHLORPYRIFOS-METHYL;671,03
PD;15;13108;CURAME BORDEAUX;18;;RO;18;CHLORTOLURON;216,86
PD;15;13111;THIOCUR FORTE;137;;RO;18;CLETHODIM;14,75
PD;15;13111;THIOCUR FORTE  X  1;2;;RO;18;CLODINAFOP PROPARGYL;387,07
PD;15;13120;MYSTIC 430 SC x 1 lt;204;;RO;18;CLOFENTEZINE;0,84
PD;15;13126;CABRIO DUO;79;;RO;18;CLOMAZONE;317,75
PD;15;13128;GOLTIX 50 WG;18;;RO;18;CLOPYRALID;104,29
PD;15;13133;NIBER 35 WG;9;;RO;18;CLOQUINTOCET MEXYL;227,68
PD;15;13140;POLTIGLIA BORDOLESE 20 D.F. AGRISYS;200;;RO;18;CONIOTHYRIUM MINITANS;1,55
PD;15;13143;MEZENE WG;7;;RO;18;COPOLIMER 21;46,72
PD;15;13149;POLTIGLIA MANICA 20 WG;200;;RO;18;COPPER HYDROXIDE (RAME IDROSSIDO);1.502,87
PD;15;13150;CURAME 35 WG;647;;RO;18;COPPER OXIDE (RAME OSSIDO);183,75
PD;15;13150;CURAME 35 WG BLU KG 1;4;;RO;18;COPPER OXYCHLORIDE (RAME OSSICLORURO);13.972,41
PD;15;13153;BANVEL S x 1;238;;RO;18;COPPER SULFATE (RAME SOLFATO);6.365,60
PD;15;13153;BANVEL S x 5;141;;RO;18;CYAZOFAMID;67,72
PD;15;13158;REMEDIER x 1;7;;RO;18;CYCLOXYDIM;456,57
PD;15;13160;FORUM TOP;55;;RO;18;CYDIA POMONELLA GRANULOSIS VIRUS;265,97
PD;15;13167;POMARSOL 80 WG;35;;RO;18;CYFLUFENAMID;6,06
PD;15;13168;LAUDIS;528;;RO;18;CYFLUTHRIN;0,44
PD;15;13168;LAUDIS x 5 lt;235;;RO;18;CYMOXANIL;469,31
PD;15;13168;LAUDIS x 1 lt;66;;RO;18;CYPERMETHRIN;439,26
PD;15;13169;CYTHRIN L;0,55;;RO;18;CYPROCONAZOLE;200,85
PD;15;13179;PLAYER COMBI SC;10;;RO;18;CYPRODINIL;408,05
PD;15;13186;TITUS MAIS EXTRA;51,2;;RO;18;CYPROSULFAMIDE;620,36
PD;15;13186;TITUS MAIS EXTRA  X 0,160;2,88;;RO;18;DAMINOZIDE;22,95
PD;15;13205;ZOLFO MANICA SCORREVOLE DOPPIO RAFF;465;;RO;18;DAZOMET;2.772,00
PD;15;13205;ZOLFO SCORR.DOPP.RAF. x 25 kg;200;;RO;18;DELTAMETHRIN;114,9
PD;15;13212;CONFIDOR 200 O TEQ X 0,200;0,4;;RO;18;DENATHONIUM BENZOATE (DENATONIO BENZOATO);0,51
PD;15;13213;R6 ERRESEI ALBIS;836;;RO;18;DESMEDIPHAM;292,45
PD;15;13213;R6 ERRESEI ALBIS x 1 kg;106;;RO;18;DICAMBA;871,88
PD;15;13213;R6 ERRESEI ALBIS x 10 kg;40;;RO;18;DICAMBA SALE SODICO;0,67
PD;15;13225;AGRIDIF;3;;RO;18;DIFENOCONAZOLE;531,18
PD;15;13230;ZOLFO VENTILATO 99%;20;;RO;18;DIFLUBENZURON;13,88
PD;15;13236;BULLET;1.177,00;;RO;18;DIFLUFENICAN;73,23
PD;15;13242;NICOGAN V.O.;903;;RO;18;DIMETHENAMID-P;979,02
PD;15;13244;ZOLFO VENTILATO STELLA;1.560,00;;RO;18;DIMETHOATE;2.525,49
PD;15;13244;ZOLFO DOPPIO VENT STELLA x 25 kg;75;;RO;18;DIMETHOMORPH;915,76
PD;15;13244;ZOLFO DOPPIO VENT STELLA KG 10;10;;RO;18;DIQUAT;1.332,80
PD;15;13253;PLAYER SC;97;;RO;18;DITHIANON;5.304,60
PD;15;13255;PLAYER GR;14;;RO;18;dodecan-1-ol (alcool laurilico);10,05
PD;15;13296;POKER 7,5;65;;RO;18;DODINE;480,92
PD;15;13299;MAGIO';13;;RO;18;EMAMECTIN BENZOATE;116,58
PD;15;13309;DRAKE 26;234;;RO;18;EPOXICONAZOLE;204,36
PD;15;13313;CASPER;28;;RO;18;EPTAMETILTRISILOSSANO, POLIALCHILENE OSSIDO MODIFICATO;121,8
PD;15;13323;SULFY 80 WDG;152;;RO;18;ESFENVALERATE;8
PD;15;13324;CUPRIZOL S;25,25;;RO;18;ETHEPHON;162,1
PD;15;13324;CUPRIZOL ML.250;8;;RO;18;ETHOFUMESATE;1.765,29
PD;15;13327;GRANSTAR ULTRA SX x 200 grammi;50;;RO;18;ETHOPROPHOS;172,5
PD;15;13327;GRANSTAR ULTRA SX;4,46;;RO;18;ETOFENPROX;414
PD;15;13327;GRANSTAR ULTRA SX x 50 grammi;1,45;;RO;18;ETOXAZOLE;3,35
PD;15;13329;OMNEX 10 EC;35;;RO;18;ETRIDIAZOLE;3,5
PD;15;13352;DIREX 7,5 GR;605;;RO;18;FAMOXADONE;1,13
PD;15;13361;DECIS ENERGY O-TEQ;16,86;;RO;18;FATTY ACIDS C7-C18 AND C18 AND UNSATURATED POTASSIUM SALTS (SALI POTASSICI DI ACIDI GRASSI);17,93
PD;15;13365;ZOLFO DOPPIO VENTILATO SCORREVOLE 9;1;;RO;18;FENAMIDONE;36,08
PD;15;13375;NUPRID 200 SC;44;;RO;18;FENAMIPHOS;42,74
PD;15;13375;NUPRID 200 SC x 1 lt;34;;RO;18;FENBUCONAZOLE;8,15
PD;15;13375;NUPRID 200 SC x 0,25 lt;7;;RO;18;FENHEXAMID;47,53
PD;15;13382;PERGADO SC;1,5;;RO;18;FENOXAPROP-P-ETHYL;5,98
PD;15;13386;PROSARO;31;;RO;18;FENPROPIDIN;372,02
PD;15;13389;AFFIRM;123;;RO;18;FENPYRAZAMINE;25,5
PD;15;13389;AFFIRM x 1 kg;46;;RO;18;FENPYROXIMATE;1,8
PD;15;13390;TEBUSIP 46;143;;RO;18;FERRIC PHOSPHATE (FOSFATO FERRICO);1,47
PD;15;13403;GLOXY;18,8;;RO;18;FLAZASULFURON;0,29
PD;15;13409;SILFUR WG (80%) x 10 kg;10;;RO;18;FLONICAMID;33,83
PD;15;13409;SILFUR WG (80%) x 1 kg;7;;RO;18;FLORASULAM;40,22
PD;15;13414;ARES 5 SC;20;;RO;18;FLUAZIFOP-P-BUTYL;295,84
PD;15;13440;SATEL;21,87;;RO;18;FLUAZINAM;622,84
PD;15;13440;SATEL ML 100;2;;RO;18;FLUDIOXONIL;294,95
PD;15;13447;HELMSTAR 75 WG;1,2;;RO;18;FLUFENACET;649,47
PD;15;13451;SPARVIERO;6;;RO;18;FLUOPICOLIDE;78,32
PD;15;13455;ANTIGRAM GOLD;1.519,00;;RO;18;FLUOPYRAM;51,76
PD;15;13455;ANTIGRAM GOLD X 5;70;;RO;18;FLUROXYPYR;665,55
PD;15;13455;ANTIGRAM GOLD x 1;46;;RO;18;FLUTRIAFOL;92,37
PD;15;13466;SPOTLIGHT PLUS;20;;RO;18;FLUVALINATE;154,16
PD;15;13468;CLINER;18,7;;RO;18;FOLPET;1.175,70
PD;15;13505;CLICK DUO;1.334,00;;RO;18;FORAMSULFURON;105,62
PD;15;13521;HELIOCUIVRE S;1;;RO;18;FORCHLORFENURON;0,67
PD;15;13540;QUASAR R FLOW;186,75;;RO;18;FORMETANATE;33
PD;15;13547;MEXIL ORO MZ WG;232;;RO;18;FOSETYL-ALUMINIUM;10.232,68
PD;15;13552;ZOLVIS 80 SECTOR;3.303,00;;RO;18;FOSTHIAZATE;3,25
PD;15;13555;SHUT TWIN;148;;RO;18;GIBBERELLIC ACID (ACIDO GIBBERELLICO A3);5,41
PD;15;13565;PASTA ISAGRO BLU;15;;RO;18;GIBBERELLINS (A4+A7);9,94
PD;15;13576;RAMEPLANT WG;57,6;;RO;18;GLUFOSINATE-AMMONIUM;755,1
PD;15;13578;RAME CAFFARO BLU WG NEW;752;;RO;18;GLYPHOSATE (GLIFOSATE);49.325,51
PD;15;13579;COPPER 12;18,5;;RO;18;GLYPHOSATE ISOPROPYLAMINE (GLIFOSATE SALE ISOPROPILAMINICO);3.354,28
PD;15;13579;COPPER 12 ML 250;8;;RO;18;HEXYTHIAZOX;410,97
PD;15;13579;COPPER 12 ML 500;2,5;;RO;18;IMAZALIL;0,04
PD;15;13586;VERDERAME 20 WG;62,4;;RO;18;IMAZAMOX;542,7
PD;15;13600;ZOLFO S.A.I.M. DOPPIO VENT. x 10 kg;160;;RO;18;IMIDACLOPRID;472,31
PD;15;13610;CLINIC SPECTRUM;4;;RO;18;INDOXACARB;624,77
PD;15;13612;BABEL 400  x 1;14;;RO;18;IODOSULFURON METHYL SODIUM;22,96
PD;15;13612;BABEL 400;8;;RO;18;IOXYNIL;76,5
PD;15;13635;POLTIGLIA 20 PB MANICA;2.474,00;;RO;18;IOXYNIL OCTANOATE;120,34
PD;15;13635;POLTIGLIA 20PB MANICA;10;;RO;18;IPRODIONE;892,75
PD;15;13640;IMPRINT;17,65;;RO;18;IPROVALICARB;31,76
PD;15;13648;SIARAM 20 WG  x 1;370;;RO;18;ISOPYRAZAM;16,47
PD;15;13648;SIARAM 20 WG x 10;140;;RO;18;ISOXABEN;56,65
