Provincia,"N. Reg.","Prodotto fitosanitario venduto*","Quantità(Kg o litri)"
BL,1850,IDRORAME FLOW,4.00
BL,2291,ESCA REGINA N,67.00
BL,2307,VECTOR,42.00
BL,2923,TIOVIT JET,93.00
BL,3102,OLEOTER,2.00
BL,3343,U46 M CLASS,5.00
BL,3486,TRISCABOL DG,1.00
BL,3503,AGRUMIN,6.00
BL,4710,ALIETTE,2.00
BL,6136,GERMON L,0.30
BL,7541,APOLLO SC,1.15
BL,7764,TIOLENE,30.00
BL,7916,POLYRAM DF,26.00
BL,8382,ROUNDUP BIOFLOW,1.00
BL,8801,SCORE 25 EC,0.50
BL,8838,GERMON BEWURZELUNGSPUDER PER TALEE ,0.20
BL,8934,SCALA,2.00
BL,9126,CONCORDE COMBI,3.00
BL,9210,QUADRIS,2.00
BL,9244,ZIRAMIT 76 WG,10.00
BL,9422,EVADE,2.25
BL,9449,EMERALD COMBI,7.00
BL,9578,SWITCH,0.25
BL,9668,RUFAST E-FLO,0.40
BL,9954,JOKER,626.00
BL,10117,STRATOS ULTRA,1.00
BL,10161,ORTIVA,3.00
BL,10305,OIKOS,0.60
BL,10585,SULCOTREK,225.00
BL,10604,EMERALD 40 EW,1.51
BL,10701,CUMETA FLOW,3.00
BL,10734,DUAL GOLD,30.00
BL,10735,PRIMAGRAM GOLD,40.00
BL,10771,MOST MICRO,843.00
BL,10890,FLiPPER,10.35
BL,10944,KARATE ZEON,3.00
BL,10976,METEOR,4.00
BL,11011,DASH HC,2.00
BL,11070,TIOGOLD DISPERSS,15.00
BL,11119,FLINT,1.00
BL,11133,SHELTER,0.50
BL,11206,CODACIDE,5.00
BL,11449,GARDOPRIM GOLD,3155.00
BL,11779,KOP-TWIN,15.00
BL,12020,SUCCESS,0.71
BL,12078,METALIM,3.00
BL,12114,AUXIGER LG,0.10
BL,12344,VEBITHRIN 5 EC,3.20
BL,12482,LUMAX,370.00
BL,12526,ALIETTE ORTO E GIARDINO,1.75
BL,12534,FOXTAIL,0.10
BL,12590,DIASTAR MAXI,180.00
BL,12671,HARMONY 50 SX,0.32
BL,12722,OSSICLOR 20 FLOW,1.00
BL,12738,KING 360 HP,9.00
BL,12759,OSSICLOR 35 WG,74.00
BL,12878,FOLPAN GOLD,7.00
BL,12886,KARATHANE STAR,2.00
BL,12916,SACRON 45 W,4.00
BL,12940,KARATE ZEON 15,4.50
BL,13012,FOLVIT 80 WDG,2.00
BL,13149,POLTIGLIA MANICA 20 WG,79.00
BL,13160,FORUM TOP,5.00
BL,13213,R6 ERRESEI ALBIS,6.00
BL,13218,FINALSAN PLUS,10.00
BL,13242,NICOGAN VO,36.00
BL,13244,ZOLFO VENTILATO STELLA,5.00
BL,13263,BORDORAM 20 WG,53.30
BL,13323,SULFY 80 WDG,0.60
BL,13382,PERGADO SC,1.00
BL,13389,AFFIRM,1.00
BL,13468,CLINER PFnPE,0.20
BL,13552,ZOLVIS 80 SECTOR,10.00
BL,13600,ZOLFO SAIM DOPPIO VENTILATO SCO,20.00
BL,13809,FORCE ULTRA,5200.00
BL,14058,FEINZIN 70 DF,29.25
BL,14154,PIRETRO ACTIGREEN,3.12
BL,14210,EVURE PRO,1.00
BL,14390,BOOM EFEKT,5.00
BL,14407,RUNWAY,2.50
BL,14409,MOVENTO 48 SC,3.00
BL,14479,SCHERMO 05 G,3.00
BL,14636,BIOLID UP,22.00
BL,14642,RIDOMIL GOLD R WG,42.00
BL,14737,ROUNDUP PLATINUM,310.00
BL,14812,ENERVIN TOP,14.00
BL,14891,TRICO,20.00
BL,14947,TRUSTEE 450,28.00
BL,14970,POLYSECT ULTRA SL,0.40
BL,15008,LBG - 01F34,4.00
BL,15013,NATRIA LUMACHICIDA,718.00
BL,15013,NATRIA LUMACHICIDA PFnPE,84.00
BL,15019,RIVIERA,4.00
BL,15047,R6 ERRESEI BORDEAUX WG,2.50
BL,15051,KYLEO,700.00
BL,15058,PRINCIPAL MAIS,14.96
BL,15096,GLIPHOGAN TOP CL,371.00
BL,15142,ALCANCE SYNC TEC,787.00
BL,15213,DEMETRINA FLOW,0.75
BL,15235,MOMENTUM,2.00
BL,15253,FALCON MK,64.00
BL,15264,ENERVIN SC,3.00
BL,15326,CUPROTEK DISPERSS,40.00
BL,15331,ZEFIR 25 WDG,1.00
BL,15363,MEDEIRO 80 WG ADVANCE,2.00
BL,15401,TAIFUN MK CL,430.00
BL,15405,SHAMAL MK PLUS CL,34.50
BL,15449,CIDELY,2.00
BL,15514,CUPRAVIT BLU 35 WG,5.00
BL,15612,SEMPRA,1.05
BL,15635,ADENGO XTRA,60.50
BL,15712,SATELITE,290.00
BL,15751,VITENE TRIPLO R PFnPE,3.00
BL,15844,SLOGAN TOP,2.00
BL,15898,FILAL WG,11.55
BL,15901,ERCOLE,120.00
BL,15990,SCIROCCO 125 EW,1.00
BL,16051,LENNS PFnPE,5.00
BL,16055,KENPYR,3.20
BL,16104,ELECTIS TRIO WDG PFnPE,1.00
BL,16273,SIVANTO PRIME,3.00
BL,16295,RAPAX AS,1.00
BL,16299,PASSAT SL,3.00
BL,16315,RADAR HP PFnPE,0.50
BL,16325,EPIK SL,20.23
BL,16335,LIETO SC,71.00
BL,16379,PREV-AM PLUS,16.00
BL,16381,CALLICORE,56.00
BL,16480,3LOGY,16.00
BL,16509,IBISCO,5.20
BL,16562,DELAN PRO,15.00
BL,16565,EXECUTIVE GOLD,0.30
BL,16578,MELODY COMPACT WG,2.00
BL,16596,SANIUM SL25 PFnPE,60.81
BL,16598,SANIUM AL PFnPE,32.00
BL,16630,NATUREN LIMEX,240.60
BL,16630,NATUREN LIMEX PFnPE,247.40
BL,16657,CENTURY PRO,20.00
BL,16690,KESTREL,3.25
BL,16774,ISOMATE C LR MAX TT,6.00
BL,16831,GLIFENE BIOGRADE,101.00
BL,16867,GLISTER STAR,5.00
BL,16886,CLOSER PFnPE,0.03
BL,16915,ALEAVI PFnPO,2.00
BL,16945,SERCADIS,0.60
BL,16957,ZORVEC VINABRIA,1.00
BL,16961,BENSEC TF,120.00
BL,16976,VITIKAPPA,76.20
BL,17038,TUAREG NEW,154.00
BL,17116,ACTIVUS ME,1.00
BL,17217,ARMICARB SPRAY,3.75
BL,17217,ARMICARB SPRAY PFnPE,21.75
BL,17248,ZORVEC VINABEL,2.00
BL,17284,RODEO PLUS,20.00
BL,17360,MAGO,8.00
BL,17377,REFINE SX,0.09
BL,17920,GHIBLI TM,717.00
BL,18213,BACILLUS CHEMIA PFnPE,3.32
BL,18214,ROMEO PFnPE,0.18
BL,18216,VITIKAPPA PFnPE,0.50
BL,18222,Ferramol,158.00
BL,18222,FERRAMOL PFnPE,2255.00
BL,18223,NATRIA LUMACHICIDA PFnPE,182.00
BL,18229,BAC MK PFnPE,1.10
BL,18235,CIOPPER PFnPE,3.80
BL,18239,FLIPPER PFNPE,2.95
BL,18242,LEPINOX PLUS PFnPE,0.85
BL,18244,MOMENTUM PFnPE,0.90
BL,18253,VERDERAME 20 WG PFnPE,0.63
BL,18257,3LOGY PFnPE,0.02
BL,18259,BARBARIAN BIOGRADE 360 PFnPE,320.22
BL,18261,BARCLAY GALLUP BIOGRADE 360 PFnPE,48.00
BL,18263,BIOLID UP PFnPE,18.10
BL,18269,Glifene Biograde PFnPE,235.50
BL,18270,Gliphogan Top CL PFnPE,826.50
BL,18277,SHAMAL MK PLUS CL PFnPE,48.00
BL,18284,WANAX PFnPE,0.30
PD,13,,8200.00
PD,13,THIOPRON,38895.00
PD,133,U 46 D-FLUID,108.00
PD,206,,100.00
PD,310,OLEOTER,26.00
PD,362,,15.00
PD,362,TREND 90,6.00
PD,599,ACUPRICO 76 WG,340.00
PD,747,ZOLFO SPRUZZABILE,50.00
PD,909,,1025.00
PD,909,POLISOLFURO DI CALCIO POLISENIO,2150.00
PD,1155,CHEMOL 90 EL,4.00
PD,1156,,2013.00
PD,1156,CHEMOL,5614.00
PD,1156,CHEMOL 1 L,6.00
PD,1562,,216.00
PD,1573,,80.00
PD,1573,BASAMID GRANULAT,40.00
PD,1583,,2673.00
PD,1583,MICROTHIOL DISPERSS,40385.00
PD,1850,IDRORAME FLOW,19.00
PD,1936,,120.00
PD,1936,LIQUIZOL M,450.00
PD,1947,SULFUR 80,10.00
PD,2191,,88.00
PD,2191,WETTING PLUS,100.00
PD,2260,,28.00
PD,2260,GASTROTOX E,13.00
PD,2291,ESCA REGINA N,175.00
PD,2307,,362.00
PD,2307,VECTOR,1691.00
PD,2353,,265.00
PD,2353,BONALAN,642.00
PD,2520,ACTELLIC,6.00
PD,2732,,978.00
PD,2732,GOLTIX,1179.00
PD,2923,,16874.00
PD,2923,TIOVIT JET,18175.00
PD,2934,MICROSOL 90,31.00
PD,3065,OLIOCIN,25.00
PD,3102,OLEOTER,85.00
PD,3141,CUTHIOL,5.00
PD,3163,U 46 M STAR,11.00
PD,3182,,89.00
PD,3343,,138.00
PD,3343,U46 M CLASS,424.00
PD,3412,SYLLIT 65,288.00
PD,3486,TRISCABOL DG,47.00
PD,3503,AGRUMIN,160.00
PD,3519,,21.00
PD,3519,METAMBANE,133.00
PD,3553,CURZATE,41.00
PD,3640,,780.00
PD,3640,CUPROSTAR,467.00
PD,3767,,208.00
PD,3767,FENOXILENE 200,1092.00
PD,3817,,390.00
PD,3817,DISERBONE KN,93.00
PD,4264,,14.00
PD,4264,VIC 400 SC,4.00
PD,4701,PIRIMOR 50,48.00
PD,4710,,41.00
PD,4710,ALIETTE,530.50
PD,5152,,110.00
PD,5152,TIOSPOR WG,1310.00
PD,5292,FIXORMON,95.00
PD,5574,LUMAKIDIN 5G,1120.00
PD,5574,Lumakidin 5G (FORMULAZIONE a umido),20.00
PD,5581,GIBBERELLINA CIFO,0.25
PD,6001,,10.00
PD,6136,GERMON L,98.00
PD,6321,,33.00
PD,6321,STIMOLANTE 66F,1.00
PD,6322,OBSTHORMON 24A,4.00
PD,6437,ETHREL,31.00
PD,6438,BI-FEN,19.00
PD,6555,K-OBIOL ULV 6,29055.00
PD,6556,,52.00
PD,6556,K-OBIOL DP2,1663.00
PD,6557,,2.00
PD,6557,K-OBIOL EC 25,5182.00
PD,6704,TIOLENE 80 WG,45.00
PD,6771,,1384.00
PD,6834,TEPETA COMBI FLOW,90.00
PD,6873,IDRORAME 193,10.00
PD,6945,,30.25
PD,6945,TOPAS 10 EC,64.00
PD,6956,,13.00
PD,6956,TARGA FLO,121.00
PD,7020,BAGNANTE CIFO,88.00
PD,7053,PASTA CAFFARO NC,767.00
PD,7055,PASTA CAFFARO BLU,95.50
PD,7368,TURFENE L,65.00
PD,7379,,63.50
PD,7379,VENZAR,41.00
PD,7401,POLTIGLIA CAFFARO 20 DF NEW,40.00
PD,7411,,6.00
PD,7483,,73.00
PD,7483,DEVRINOL F,141.00
PD,7515,GERMON BEWURZELUNGSPUDER H PER TALE,0.25
PD,7534,ROYAL MH,20.00
PD,7541,,1.00
PD,7541,APOLLO SC,1.60
PD,7640,SPOLLONANTE G,2.00
PD,7644,TENSIL,649.00
PD,7700,,8.60
PD,7700,MATACAR FL,6.60
PD,7736,,150.00
PD,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,5050.00
PD,7737,,625.00
PD,7764,,45.00
PD,7911,AIRONE EXTRA,660.00
PD,7916,,3925.00
PD,7916,POLYRAM DF,12422.00
PD,7919,,3520.00
PD,7919,TOUCHDOWN,3074.00
PD,7922,OPALENE FLUID,110.00
PD,7930,,230.00
PD,7930,KERB FLO,739.00
PD,7961,,1.00
PD,7961,RIZOLEX  GOLD,80.00
PD,7983,,5.00
PD,8023,,397.00
PD,8023,SUMIALFA ECHO,84.00
PD,8028,,697.00
PD,8102,,380.00
PD,8102,MERPAN 80 WDG,1661.00
PD,8139,MANTA GOLD,21.00
PD,8146,,74.50
PD,8146,GALLERY,47.25
PD,8184,,238.00
PD,8184,CHALLENGE,935.58
PD,8189,,3310.00
PD,8229,BOLAS SC,7.00
PD,8259,,10.00
PD,8259,LAMDEX EXTRA,1465.00
PD,8320,,20.00
PD,8320,DELFIN,2.00
PD,8376,,322.00
PD,8376,ARIANE II,550.00
PD,8498,,23.00
PD,8498,FOLICUR WG,439.50
PD,8542,,3.00
PD,8542,FORUM 50 WP,106.00
PD,8546,DANITRON,3.00
PD,8558,PIRETRO VERDE,18.00
PD,8558,PIRETRO VERDE 500 ml,1.00
PD,8558,PIRETRO VERDE PFnPE,1.50
PD,8599,,1158.00
PD,8601,,190.00
PD,8601,FOLPAN 80 WDG,6822.00
PD,8601,FOLPAN 80 WDG 5 kg,5.00
PD,8617,,94.00
PD,8617,BANVEL 480 S,105.00
PD,8656,,1020.00
PD,8656,GLIFENE HP,2550.00
PD,8706,,3.50
PD,8706,AMID THIN W,19.50
PD,8712,ALLEGANTE 4% AF 96,5.00
PD,8735,,268.50
PD,8735,TREBON UP,708.50
PD,8795,,130.25
PD,8795,VERTIMEC EC,97.75
PD,8801,,48.25
PD,8801,SCORE 25 EC,430.25
PD,8836,MIMIC,102.00
PD,8837,GERMON BEWURZELUNGSPUDER PER TALEE ,0.50
PD,8843,NISSHIN,65.00
PD,8874,,161.00
PD,8874,ETOFUM - FL,47.00
PD,8886,,18.24
PD,8886,SAFARI,13.80
PD,8899,ZOLFO VENTILATO RAMATO 5%,675.00
PD,8929,,78.00
PD,8929,TOPIK 240 EC,45.00
PD,8934,SCALA,42.90
PD,9005,,475.00
PD,9005,AGIL,3058.00
PD,9010,,30.00
PD,9010,RAMEZIN COMBI WG,60.00
PD,9012,CUPROCAFFARO MICRO,1853.00
PD,9041,,18440.00
PD,9041,TIOFLOW 57,30.00
PD,9061,,52.00
PD,9061,PANTOPUR MC,199.00
PD,9210,QUADRIS,879.00
PD,9244,,500.00
PD,9244,ZIRAMIT 76 WG,640.00
PD,9306,PROPLANT,5.00
PD,9342,DELTRIN,8.50
PD,9371,,0.52
PD,9373,,5.00
PD,9373,CHORUS,30.00
PD,9420,OSSIRAM 70 FLOW,5.00
PD,9422,,221.25
PD,9422,EVADE,932.75
PD,9422,EVADE 1 L,16.00
PD,9449,EMERALD COMBI,33.00
PD,9449,EMERALD COMBI 1 kg,1.00
PD,9509,PROMALIN NT,34.00
PD,9569,ZETARAM 3B FL,140.00
PD,9575,,35.00
PD,9575,DRIBBLING 240 EC,39.00
PD,9578,,383.25
PD,9578,SWITCH,786.00
PD,9612,OSSICLOR 30,26.00
PD,9627,SOLUTION 20 DISPERSS,850.00
PD,9631,METRIN EC,30.00
PD,9655,PRIMIAL WG,1.00
PD,9679,KRISTAL 32 WG,424.00
PD,9695,,1.00
PD,9705,,28.00
PD,9705,PREVITER,59.00
PD,9723,,1180.00
PD,9723,DE-SPROUT N,80.00
PD,9724,TIOWETTING DF,4070.00
PD,9744,,30.00
PD,9744,SCORE 10 WG,27.00
PD,9757,,127.00
PD,9757,SPYRALE,112.00
PD,9787,MICROBAGNABILE WG 1 kg,1.00
PD,9790,,229.00
PD,9790,CONTATTO 320,76.00
PD,9800,,296.60
PD,9800,MAVRIK SMART,633.10
PD,9809,,135.00
PD,9809,MALVIN 80 WG,92.00
PD,9843,,804.00
PD,9843,BASAGRAN SG,594.00
PD,9872,AKRIS,30.00
PD,9954,,1177.00
PD,9954,JOKER,2402.50
PD,10009,GIBGRO 20%,0.10
PD,10029,KING,0.50
PD,10048,,150.00
PD,10048,KUMULUS TECNO,1925.00
PD,10105,,3.75
PD,10105,RIDOMIL GOLD SL,6.75
PD,10117,,1259.00
PD,10117,STRATOS ULTRA,1463.00
PD,10118,,129.00
PD,10118,AMISTAR,37.60
PD,10127,DECIS JET,1.00
PD,10142,VERNOIL,60.00
PD,10161,,41.00
PD,10161,ORTIVA,252.00
PD,10175,SPORAMIL R FLOW,173.00
PD,10220,DICOPUR COMBI,11.00
PD,10224,,1010.00
PD,10230,LUMAPLUS,0.50
PD,10296,,90.00
PD,10305,,90.00
PD,10305,OIKOS,161.00
PD,10306,MISTRAL,544.00
PD,10324,NEMATHORIN 10 G,490.00
PD,10350,,18.00
PD,10350,BLAST SG,331.40
PD,10357,RIGRON SG,9.00
PD,10381,,256.00
PD,10415,,1.50
PD,10415,ARIC 480 LS,74.50
PD,10439,SPRAY DUNGER GLOBAL,13.00
PD,10440,EXPANDER,84.00
PD,10461,,1.00
PD,10461,DICOTURF 500 ml,3.00
PD,10479,,103.00
PD,10479,NATURALIS,184.00
PD,10509,,135.00
PD,10560,PIRETRO NATURA,2.00
PD,10573,,60.00
PD,10573,KOCIDE 2000,3361.00
PD,10577,,759.50
PD,10577,METRIPHAR 70 WG,236.00
PD,10585,,35.00
PD,10585,SULCOTREK,1079.00
PD,10589,FLORA VERDE,0.22
PD,10589,FLORA VERDE PFnPE,1.20
PD,10604,,127.00
PD,10604,EMERALD 40 EW,557.75
PD,10604,EMERALD 40 EW 1 L,7.00
PD,10604,EMERALD 40 EW 250 ml,1.25
PD,10627,FRUPICA,4.00
PD,10632,COBRE NORDOX SUPER 75 WG,369.00
PD,10632,COBRE NORDOX SUPER 75 WG PFnPE,12.50
PD,10647,DINAPIC,15.00
PD,10701,,52.00
PD,10701,CUMETA FLOW,994.00
PD,10734,,849.00
PD,10734,DUAL GOLD,3962.00
PD,10735,,708.00
PD,10735,PRIMAGRAM GOLD,1860.00
PD,10741,,3.00
PD,10741,METACINQUE,546.00
PD,10771,,506.00
PD,10771,MOST MICRO,1887.00
PD,10816,PIRETRO GARDEN,12.00
PD,10816,PIRETRO GARDEN PFnPO,1.50
PD,10889,AGRIMIX GOLD,2.00
PD,10890,,50.00
PD,10890,FLiPPER,98.00
PD,10890,FLiPPER PFnPE,6.15
PD,10890,FLIPPER PFnPE 200 ml,10.80
PD,10890,FLIPPER PFnPE 50 ml,3.20
PD,10925,,13.00
PD,10926,,4.00
PD,10926,ALTOREX,23.00
PD,10929,,1.30
PD,10929,CHIKARA 25 WG,26.10
PD,10944,,122.75
PD,10944,KARATE ZEON,159.00
PD,10948,VITISAN WG,13.00
PD,10976,,432.75
PD,10976,METEOR,687.46
PD,10976,METEOR PFnPE,2.25
PD,10999,,154.00
PD,10999,BETANAL SE,117.00
PD,11011,,1439.00
PD,11011,DASH HC,2537.00
PD,11040,POLTIGLIA BORDOLESE DISPERSS BLU,20.00
PD,11044,TUREX,52.00
PD,11059,,16.00
PD,11059,BIOPOWER,302.00
PD,11062,,3.00
PD,11062,BION 50 WG,2.50
PD,11070,,17530.00
PD,11088,,11.00
PD,11088,BION MX,1.00
PD,11102,,10.00
PD,11102,HELIOSOUFRE S,30.00
PD,11107,ECO-TRAP,600.00
PD,11119,,12.60
PD,11119,FLINT,125.50
PD,11133,,0.50
PD,11133,SHELTER,227.00
PD,11165,,20.00
PD,11165,POLAK,14.00
PD,11183,PROGERBALIN LG,76.50
PD,11196,SULFAR,1060.00
PD,11197,VITENE 45 WG,4.00
PD,11206,,597.50
PD,11206,CODACIDE,3319.00
PD,11212,BATKUR,2.00
PD,11243,,1214.00
PD,11243,LEOPARD 5 EC,6815.00
PD,11252,,12.00
PD,11253,,209.00
PD,11253,CALLISTO,213.00
PD,11255,,1114.00
PD,11257,COSTAR WG,3.00
PD,11258,,85.00
PD,11258,FAZOR STAR,355.00
PD,11303,,360.00
PD,11303,CHAMP DP,80.00
PD,11341,,58.00
PD,11341,STARANE GOLD,1190.50
PD,11353,,481.00
PD,11353,FUSILADE MAX,391.00
PD,11393,,34.00
PD,11393,BEETLE,199.25
PD,11402,MELODY COMBI,480.00
PD,11416,,2.00
PD,11416,OVIPRON TOP,40.00
PD,11435,FLORANET,1.00
PD,11449,,18202.00
PD,11449,GARDOPRIM GOLD,25.00
PD,11479,BRANCHER DIRADO,20.00
PD,11497,,169.00
PD,11497,CRITTOVIT WG,3360.00
PD,11505,,77.00
PD,11505,READY GERMIPLUS,234.00
PD,11505,READY GERMIPLUS 7 kg,7.00
PD,11513,EXILIS,20.00
PD,11523,SEPRADINA 400 SC,2.00
PD,11526,,255.00
PD,11526,SULTAN,867.00
PD,11561,,15.00
PD,11561,NEEMAZAL T/S,17.05
PD,11569,,10.00
PD,11569,CUPROXAT SDI,1141.00
PD,11611,,240.00
PD,11611,VYDATE 10L,20.00
PD,11619,TIOFLOR WDG,120.00
PD,11637,CUPROFIX C DISPERSS,170.00
PD,11642,PIKAR,3.25
PD,11648,AZACTIVA,0.35
PD,11649,,60.00
PD,11649,COMMAND 36 CS,369.60
PD,11654,VERIN,7.00
PD,11678,ACTELLIC 2/P NEWPHARM,501.00
PD,11687,ACTELLIC 5 NEWPHARM,12605.00
PD,11690,GOAL 480 SC,2.00
PD,11693,,54.50
PD,11693,LASER,51.50
PD,11694,CONSERVE SC,0.65
PD,11711,MEXIRAM HI BIO,1070.00
PD,11735,DELICIA CONTRA-LUMACHE,1.80
PD,11760,,300.00
PD,11760,POLITHIOL,2300.00
PD,11762,FORUM STAR,160.00
PD,11767,BIG MAIS,107.00
PD,11779,KOP-TWIN,862.00
PD,11793,,157.00
PD,11793,XENTARI WG,33.50
PD,11794,PRESSING 500,0.75
PD,11802,TETRACAP 80 DG,15.00
PD,11854,BUGGY TF,5.00
PD,11857,MIDAURIL COMBI,340.00
PD,11872,RIFLE 3-18-R,271.00
PD,11908,VENTUREX 400 SC,10.00
PD,11944,,305.00
PD,11944,ASPECT,270.00
PD,11979,BORDO 20 MICRO,1.50
PD,11991,NEEMIK TEN,27.00
PD,11999,,280.00
PD,11999,BUSSOLA WG NC,385.00
PD,12010,TUAREG,105.00
PD,12023,,115.00
PD,12037,,35.00
PD,12037,CAMIX,1570.00
PD,12041,,826.00
PD,12041,MARTOS,39.00
PD,12043,,31.00
PD,12043,PREVICUR ENERGY,21.00
PD,12043,PREVICUR ENERGY 50 ml,0.05
PD,12048,TIOSOL 80 WG,1000.00
PD,12068,,1490.00
PD,12068,TEFLUSTAR,1530.00
PD,12090,,1830.00
PD,12096,,2250.00
PD,12096,POLTIGLIA DISPERSS,11945.00
PD,12106,,4.00
PD,12106,TALENDO,49.00
PD,12114,,12.10
PD,12114,AUXIGER LG,23.00
PD,12117,ENIFUL,5.00
PD,12133,JUVINAL GOLD,31.00
PD,12170,,60.00
PD,12170,HELIOCUIVRE,1695.00
PD,12172,FERRAMOL,145.00
PD,12172,FERRAMOL PFnPE,230.50
PD,12202,ZEMIX R WG,1.00
PD,12225,,3.64
PD,12225,TEPPEKI,54.11
PD,12235,FERRAMOL ESCA LUMACHICIDA (PFnPO),3.60
PD,12285,FORUM GOLD,140.00
PD,12319,,1.00
PD,12319,KRONOS,24.00
PD,12361,,9.00
PD,12361,ALGEDI,42.80
PD,12375,SUGAR 500 SC,265.00
PD,12381,,1.00
PD,12381,NU-FILM-P,137.00
PD,12395,,140.00
PD,12395,CUTRIL TOP,100.00
PD,12437,,211.00
PD,12437,DELAN 70 WG,339.00
PD,12452,,33.00
PD,12452,EQUIP,591.00
PD,12453,MILDICUT,220.00
PD,12482,,3815.00
PD,12482,LUMAX,11428.00
PD,12504,FLOWBRIX,3.00
PD,12528,,79.00
PD,12528,CABRIO TOP,221.00
PD,12529,,3.00
PD,12529,TUCANA 25 EC,4.00
PD,12534,,1.00
PD,12534,FOXTAIL,211.20
PD,12534,FOXTAIL 250 ml,0.25
PD,12538,,46.00
PD,12538,MYSTIC 25 WG,3.00
PD,12540,REGRAN EXTRA,9.00
PD,12548,XANILO 45 WG,58.50
PD,12566,,6.00
PD,12566,PYGANIC 14,36.00
PD,12590,,1570.00
PD,12590,DIASTAR MAXI,6670.00
PD,12622,,13.50
PD,12622,QUANTUM,63.50
PD,12628,SERENADE MAX,24.00
PD,12636,QUASAR 6-24 R,90.00
PD,12647,,24.00
PD,12647,GLITTER,311.00
PD,12661,NEXOL 10 WG,68.00
PD,12671,,48.78
PD,12671,HARMONY 50 SX,123.86
PD,12690,SPRUZIT INSETTICIDA CONCENTRATO PFn,0.12
PD,12722,OSSICLOR 20 FLOW,380.00
PD,12737,,41.00
PD,12737,AIRONE PIU',2180.00
PD,12738,KING 360 HP,290.00
PD,12748,,16.00
PD,12756,,22.00
PD,12756,DICOTEX,76.00
PD,12756,DICOTEX 1 L,2.00
PD,12759,,110.00
PD,12759,OSSICLOR 35 WG,549.00
PD,12759,OSSICLOR 35 WG PFnPE,0.70
PD,12763,PYGRAIN,2915.00
PD,12768,,12.00
PD,12768,SPINTOR FLY,21.00
PD,12770,,1.00
PD,12770,ALAR 85 GOLD,8.00
PD,12779,,81.00
PD,12788,ADIGOR,5.00
PD,12792,,776.00
PD,12792,MAGIC TANDEM,704.00
PD,12806,,39.00
PD,12806,FEDOR,331.00
PD,12828,SITOFEX,4.00
PD,12831,INSIGNIA,6.00
PD,12843,CHECKMATE CM-F,0.74
PD,12844,CHECKMATE OFM-F,1.17
PD,12856,CUPRORAM 25 FLOW,60.00
PD,12857,,43.50
PD,12857,PROREX,7.00
PD,12860,MILBEKNOCK,5.00
PD,12862,,9.00
PD,12862,CANTUS,113.00
PD,12866,,36.00
PD,12866,COLLIS,40.00
PD,12868,,7.00
PD,12868,BELLIS,28.00
PD,12869,,94.00
PD,12869,SIGNUM,1273.00
PD,12878,,444.00
PD,12878,FOLPAN GOLD,12644.00
PD,12878,FOLPAN GOLD 5 kg,5.00
PD,12883,,152.00
PD,12883,PROSPER 300 CS,1540.00
PD,12886,,194.00
PD,12886,KARATHANE STAR,1709.00
PD,12888,,272.00
PD,12888,LEPINOX PLUS,8.00
PD,12904,,24.00
PD,12916,SACRON 45 W,378.50
PD,12933,,161.00
PD,12940,,491.00
PD,12940,KARATE ZEON 15,1536.00
PD,12949,,865.00
PD,12949,AZUPEC 80 WG,93.00
PD,12960,,16.00
PD,12960,STARPROP,238.00
PD,12961,,83.00
PD,12961,HEREU,90.00
PD,12994,VIVER ELITE WG,40.50
PD,13012,,1055.00
PD,13012,FOLVIT 80 WDG,55.00
PD,13018,GONDOR,72.00
PD,13020,MICRORAM 35 WG,1205.00
PD,13061,,50.00
PD,13061,BIOBIT DF,33.00
PD,13062,,20.00
PD,13063,,1.20
PD,13063,REGULEX 10 SG,1.60
PD,13064,,66.00
PD,13064,VITENE ULTRA SC,277.00
PD,13065,,3.00
PD,13065,DOMARK 125,23.75
PD,13076,,17.00
PD,13084,,77.00
PD,13084,TELDOR PLUS,118.00
PD,13093,,511.00
PD,13093,STOMP AQUA,1446.00
PD,13098,,345.00
PD,13098,ROUNDUP POWER 20,6536.50
PD,13098,ROUNDUP POWER 20 PFnPE,420.50
PD,13104,ALGOR PLATIN,20.00
PD,13116,,45.00
PD,13120,,473.00
PD,13126,,270.00
PD,13126,CABRIO DUO,575.00
PD,13127,,40.00
PD,13149,,150.00
PD,13149,POLTIGLIA MANICA 20 WG,123.00
PD,13149,POLTIGLIA MANICA 20 WG PFnPE,108.00
PD,13150,CURAME 25 WG,727.00
PD,13154,,273.00
PD,13154,MONDAK 480 S,373.00
PD,13156,,2.00
PD,13156,CAMBEL 480 S,2.00
PD,13158,,141.00
PD,13158,REMEDIER,207.00
PD,13160,,75.00
PD,13160,FORUM TOP,646.00
PD,13168,,517.00
PD,13168,LAUDIS,3567.00
PD,13179,PLAYER COMBI SC,5.00
PD,13205,,200.00
PD,13205,ZOLFO MANICA SCORREVOLE DOPPIO RAFF,250.00
PD,13211,,25.00
PD,13211,ZOLFO VENTILATO SCORREVOLE 96%,8550.00
PD,13213,,520.00
PD,13213,R6 ERRESEI ALBIS,1309.00
PD,13218,,460.00
PD,13218,FINALSAN PLUS,230.00
PD,13218,FINALSAN PLUS 10 L,20.00
PD,13225,AGRIDIF 250,4.00
PD,13236,BULLET,1246.00
PD,13242,,1027.00
PD,13242,NICOGAN VO,2840.00
PD,13244,,1525.00
PD,13244,ZOLFO VENTILATO STELLA,2350.00
